x_m,r_m,p_pa,cp
2.615956042e-05,0.0070738047,12173.45323,1.7735640047619046
0.0001045076046,0.01650520241,12188.84677,1.7760074238095238
0.0002611562102,0.02687891915,12174.66417,1.7737562174603174
0.0004961537775,0.03738593299,12160.38806,1.771490168253968
0.0008094368981,0.04793584129,12145.99515,1.7692055793650794
0.001201018964,0.05850356723,12127.03399,1.7661958714285715
0.001670895755,0.0690791114,12099.90727,1.761890042857143
0.002218974692,0.07965750283,12076.64659,1.7581978714285715
0.002845296704,0.09023583335,12044.64666,1.7531185174603174
0.003549800705,0.1008121811,12017.57455,1.748821357142857
0.004332429497,0.1113851364,11982.62673,1.743274084126984
0.005193184487,0.1219535767,11951.62824,1.7383536888888889
0.00613194935,0.1325165626,11914.36188,1.7324383936507937
0.007148744366,0.1430732518,11880.25057,1.7270239
0.008243510437,0.1536228821,11841.25509,1.7208341412698414
0.009416122556,0.1641647456,11804.18451,1.714949922222222
0.01066658485,0.1746981555,11763.74458,1.7085308857142858
0.01199478118,0.1852224629,11724.27544,1.7022659428571427
0.0134006662,0.195737027,11681.40971,1.6954618587301586
0.01488418376,0.2062412224,11638.87338,1.6887100603174605
0.01644518489,0.216734446,11593.50436,1.6815086285714287
0.01808365397,0.2272160832,11548.1032,1.6743020952380951
0.01979947632,0.2376855407,11500.20961,1.666699938095238
0.02159253981,0.2481422283,11451.91385,1.6590339444444446
0.02346279048,0.2585855512,11401.27396,1.6509958666666666
0.02541005805,0.2690149376,11349.8126,1.6428273968253968
0.02743430588,0.2794297928,11295.77717,1.6342503444444443
0.02953542075,0.2898295398,11240.38415,1.6254578015873016
0.03171322459,0.300213615,11182.16985,1.6162174365079365
0.03396766512,0.3105814311,11122.12318,1.6066862190476192
0.03629857191,0.3209324275,11058.85978,1.5966444095238097
0.03870584567,0.3312660275,10993.2665,1.5862327777777778
0.04118937517,0.341581659,10924.07395,1.5752498333333333
0.04374895803,0.3518787717,10852.01539,1.5638119666666668
0.04638452278,0.362156784,10775.72197,1.5517019
0.04909590062,0.3724151398,10695.9691,1.5390427142857144
0.0518829269,0.3826532814,10611.25092,1.5255953841269843
0.0547454921,0.3928706374,10522.25144,1.5114684825396825
0.05768337348,0.4030666682,10427.12845,1.4963695952380953
0.06069647856,0.4132407966,10326.49606,1.4803962
0.06378464007,0.4233924685,10218.12548,1.4631945206349208
0.06694762912,0.4335211471,10102.37346,1.4448211841269842
0.07018533742,0.44362626,9975.953048,1.424754452063492
0.07349754157,0.4537072716,9839.160678,1.4030413774603174
0.07688408961,0.4637636216,9686.35764,1.378786926984127
0.08034481594,0.4737947559,9517.939553,1.3520538973015874
0.08387946673,0.4838001498,9320.597749,1.3207298014285715
0.08748791546,0.4937792345,9095.445441,1.2849913398412698
0.09116994054,0.5037314756,8808.128036,1.2393854025396827
0.0949156863,0.5136600318,8442.635789,1.1813707601587302
0.09878007378,0.5235415585,7970.514602,1.1064308892063492
0.1031366197,0.5332047288,6903.878468,0.9371235663492063
0.1083032985,0.5424583497,6053.675818,0.8021707647619047
0.1142685309,0.5512193704,5198.528057,0.6664330249206349
0.1209852623,0.5594195233,4491.631332,0.5542271955555556
0.1284012297,0.5669943007,3653.157251,0.4211360715873016
0.136458252,0.5738846888,3083.484071,0.3307117573015873
0.1450932396,0.5800366228,2507.319719,0.23925709825396826
0.1542387875,0.5854018733,2082.110809,0.17176362047619045
0.1638230173,0.5899388062,1664.235954,0.10543427841269841
0.1737711635,0.5936115352,1340.95237,0.0541194238095238
0.1840052152,0.5963917495,1041.318052,0.0065584209523809655
0.1944451683,0.5982572463,810.6010704,-0.030063322158730154
0.2050093279,0.5991938918,543.0599237,-0.07253017084126984
