iteration,cd_fore,cd_aft,cd_viscous,cd_total,mean_abs_drho_dtau_kg_m3_s
5,0.11886913332741736,,0.0,0.11886913332741736,3.8444170376
10,0.2632081527207285,,0.0,0.2632081527207285,3.8400790479
15,0.43659621253115866,,0.0,0.43659621253115866,3.8340878442
20,0.6406599602806017,,0.0,0.6406599602806017,3.8265201712
25,0.8770159739648561,,0.0,0.8770159739648561,3.8174547507
30,1.145744466462631,,0.0,1.145744466462631,3.8069768653
35,1.4448930539435776,,0.0,1.4448930539435776,3.7951811528
40,1.7700271644555527,,0.0,1.7700271644555527,3.7821735606
45,2.1012475584550496,,0.0,2.1012475584550496,3.7680744838
50,2.3968120349238538,,0.0,2.3968120349238538,3.7528414873
55,2.636078456432885,,0.0,2.636078456432885,3.73613234
60,2.8109803983651576,,0.0,2.8109803983651576,3.8441116596
65,2.92323196733973,,0.0,2.92323196733973,4.3873764482
70,2.9767211268219995,,0.0,2.9767211268219995,4.9625270886
75,2.9779978301846004,,0.0,2.9779978301846004,5.486177597
80,2.9391411496144015,,0.0,2.9391411496144015,5.8844491678
85,2.873652019366692,,0.0,2.873652019366692,6.1369018658
90,2.7924097385105884,,0.0,2.7924097385105884,6.2766956209
95,2.70470630930437,,0.0,2.70470630930437,6.3156860015
100,2.6170294495759276,,0.0,2.6170294495759276,6.2723154403
105,2.5331493723849516,,0.0,2.5331493723849516,6.1672965665
110,2.455576633377666,,0.0,2.455576633377666,6.0511510786
115,2.385772304438475,,0.0,2.385772304438475,5.9417106429
120,2.324036065735907,,0.0,2.324036065735907,5.8192829194
125,2.2700562039772283,,0.0,2.2700562039772283,5.6954954558
130,2.22316980658927,,0.0,2.22316980658927,5.6019529202
135,2.182620229650863,,0.0,2.182620229650863,5.4899360761
140,2.147690773594779,,0.0,2.147690773594779,5.360908547
145,2.117725845964722,,0.0,2.117725845964722,5.2382469988
150,2.092095510182275,,0.0,2.092095510182275,5.1228095284
155,2.07017705570764,,0.0,2.07017705570764,5.0089974135
160,2.0513720303469194,,0.0,2.0513720303469194,4.8999913745
165,2.03514088792955,,0.0,2.03514088792955,4.8103365681
170,2.0210332564459046,,0.0,2.0210332564459046,4.727169643
