x_m,r_m,p_pa,cp
2.739277715e-05,0.007086060987,939638.5717,1.8393857960023514
0.0001094226559,0.01653376824,940587.65,1.841245639819714
0.0002734592604,0.02692534748,939843.0239,1.8397864469919656
0.0005195228374,0.03745032139,939168.8625,1.838465339016265
0.0008475510839,0.04801807672,938454.233,1.837064928473447
0.001257577527,0.05860343918,937482.6698,1.8351610225357633
0.001749540605,0.0691963409,936781.4402,1.8337868708602783
0.002323430427,0.07979174414,935743.1018,1.8317521101312952
0.002979226127,0.09038668619,934579.103,1.8294711013129532
0.003716841773,0.1009791887,933368.8377,1.8270994271996865
0.004536282671,0.1115677825,931886.0303,1.8241936709778561
0.005437449256,0.122151297,930321.9909,1.821128729962767
0.006420340209,0.1327287269,928497.6996,1.8175537911032726
0.007484880713,0.1432991846,926595.7871,1.8138267432882618
0.008630987018,0.1538618538,924392.8365,1.8095097717029198
0.009858625705,0.1644159631,922031.6759,1.804882766803841
0.01116767475,0.1749607842,919254.5998,1.7994407207524985
0.01255810639,0.1854956022,916277.1202,1.7936059576719576
0.01402979202,0.196019733,912840.9963,1.7868724207329023
0.01558268591,0.2065324933,909195.5706,1.7797287293748776
0.01721669856,0.2170332173,905140.9163,1.7717831007250637
0.01893168479,0.2275212539,900931.9757,1.7635351277679796
0.02072759148,0.2379959447,896433.1697,1.7547191254164216
0.02260426245,0.2484566529,891745.3686,1.7455327622966883
0.02456163618,0.258902728,887112.7357,1.7364545085243974
0.02659956879,0.2693335389,882185.4427,1.7267988295120518
0.02871794392,0.2797484498,876988.0712,1.7166138961395259
0.03091665739,0.2901468264,871822.9118,1.7064920866157163
0.03319553007,0.3005280503,866573.1473,1.696204482265334
0.0355544754,0.3108914851,861243.7649,1.6857608561630413
0.03799330394,0.3212365188,855721.8349,1.6749399077013523
0.04051192032,0.3315625175,850146.9961,1.664015277483833
0.0431101655,0.3418688648,844364.1699,1.6526830685871057
0.0457878538,0.3521549496,838424.0163,1.641042555947482
0.04854486585,0.3624201465,832252.7072,1.6289490636880266
0.05138098951,0.3726638541,825939.492,1.6165774877523025
0.05429610473,0.3828854463,819388.246,1.6037394591416814
0.05728999903,0.3930843243,812649.7173,1.590534425436018
0.06036252436,0.4032598691,805585.476,1.5766911150303744
0.06351350677,0.4134114716,798213.1602,1.5622440921026848
0.06674271153,0.4235385399,790327.7563,1.546791605526161
0.07004999433,0.4336404555,781925.5273,1.5303263321575542
0.07343511091,0.4437166316,772735.8596,1.5123179690378208
0.07689790788,0.453766451,762731.6932,1.4927134885361553
0.08043815818,0.4637893229,751596.6658,1.470892937095826
0.08405564598,0.473784651,739198.8168,1.4465977205565355
0.08775018239,0.4837518312,724748.3577,1.4182801444248483
0.09152150095,0.4936902867,707943.5319,1.385348876935136
0.09536942445,0.5035994081,687016.7942,1.3443401806780326
0.09929000324,0.5134801093,660173.0969,1.2917364234763864
0.1032875001,0.5233296208,632362.8094,1.2372385055849502
0.1076810211,0.5329992092,541153.2592,1.058501389770723
0.1128396489,0.5422782599,463793.9246,0.9069055939643348
0.1188002717,0.5510645788,389096.4639,0.7605260903390162
0.1255161114,0.5592890633,328125.2539,0.6410449811875367
0.1329343856,0.5668872557,266711.6152,0.5206968747795414
0.140996841,0.573799364,225880.5427,0.4406830152851264
0.1496401605,0.5799712514,179580.0257,0.3499510595728003
0.1587964357,0.5853543148,147621.7493,0.287324611601019
0.1683938033,0.5899064297,113652.7198,0.2207578283362728
0.1783568236,0.5935917106,89777.16504,0.17397053701744072
0.1886073424,0.5963813591,67100.58861,0.12953280150891633
0.1990647499,0.598253339,50042.42878,0.09610509265138155
0.2096470525,0.5991930738,32167.30024,0.06107642610229277
