design,mach_lo,mach_hi,heat_load_fraction,time_s,mach_at_peak_heating,mach_at_peak_g,mach_at_entry,mach_max,mach_at_end
baseline_capsule,0.0,1.0,1.0210837291178907e-05,0.6787127717470867,19.366695800862363,12.243052634330896,19.455184422129157,27.12964365057389,0.9886563332871329
baseline_capsule,1.0,3.0,0.0023391900511662836,32.5,19.366695800862363,12.243052634330896,19.455184422129157,27.12964365057389,0.9886563332871329
baseline_capsule,3.0,6.0,0.010723178941832239,16.825555308747056,19.366695800862363,12.243052634330896,19.455184422129157,27.12964365057389,0.9886563332871329
baseline_capsule,6.0,10.0,0.037026884155734116,13.5,19.366695800862363,12.243052634330896,19.455184422129157,27.12964365057389,0.9886563332871329
baseline_capsule,10.0,20.0,0.39983893168637397,40.15565864706321,19.366695800862363,12.243052634330896,19.455184422129157,27.12964365057389,0.9886563332871329
baseline_capsule,20.0,99.0,0.5500616043276023,140.81920441048334,19.366695800862363,12.243052634330896,19.455184422129157,27.12964365057389,0.9886563332871329
M4:C-52b4dbb040f4,0.0,1.0,0.0003590186389251195,92.82732817326831,21.034621529441704,12.83565362260815,19.455184422129157,26.949182577608752,0.29605676662869507
M4:C-52b4dbb040f4,1.0,3.0,0.0026054335897242047,35.99999999999997,21.034621529441704,12.83565362260815,19.455184422129157,26.949182577608752,0.29605676662869507
M4:C-52b4dbb040f4,3.0,6.0,0.013059298378960424,21.443604831854287,21.034621529441704,12.83565362260815,19.455184422129157,26.949182577608752,0.29605676662869507
M4:C-52b4dbb040f4,6.0,10.0,0.03978910984048074,16.867000000000104,21.034621529441704,12.83565362260815,19.455184422129157,26.949182577608752,0.29605676662869507
M4:C-52b4dbb040f4,10.0,20.0,0.28454684155842813,42.62074671094645,21.034621529441704,12.83565362260815,19.455184422129157,26.949182577608752,0.29605676662869507
M4:C-52b4dbb040f4,20.0,99.0,0.6596402979934813,173.61633977647443,21.034621529441704,12.83565362260815,19.455184422129157,26.949182577608752,0.29605676662869507
M4:C-31adf2fd40ab,0.0,1.0,0.00038051475773620243,92.82880174212153,21.095401143062354,13.017993228024727,19.455184422129157,26.972982851746593,0.29665972005698693
M4:C-31adf2fd40ab,1.0,3.0,0.002793124080274366,36.00000000000003,21.095401143062354,13.017993228024727,19.455184422129157,26.972982851746593,0.29665972005698693
M4:C-31adf2fd40ab,3.0,6.0,0.013607992148396976,20.887000000000114,21.095401143062354,13.017993228024727,19.455184422129157,26.972982851746593,0.29665972005698693
M4:C-31adf2fd40ab,6.0,10.0,0.041992145486834345,16.515000000000157,21.095401143062354,13.017993228024727,19.455184422129157,26.972982851746593,0.29665972005698693
M4:C-31adf2fd40ab,10.0,20.0,0.29120271817121,38.62136232643743,21.095401143062354,13.017993228024727,19.455184422129157,26.972982851746593,0.29665972005698693
M4:C-31adf2fd40ab,20.0,99.0,0.650023505355548,150.7931161881366,21.095401143062354,13.017993228024727,19.455184422129157,26.972982851746593,0.29665972005698693
M4:C-ce6d29101514,0.0,1.0,0.0004093279686151512,93.3655843208085,21.095118811984587,13.426054591006661,19.455184422129157,26.999832064794735,0.29604949968935124
M4:C-ce6d29101514,1.0,3.0,0.0029069117451451174,35.5,21.095118811984587,13.426054591006661,19.455184422129157,26.999832064794735,0.29604949968935124
M4:C-ce6d29101514,3.0,6.0,0.014615869795198941,20.698517361316817,21.095118811984587,13.426054591006661,19.455184422129157,26.999832064794735,0.29604949968935124
M4:C-ce6d29101514,6.0,10.0,0.0438304056062369,15.591000000000037,21.095118811984587,13.426054591006661,19.455184422129157,26.999832064794735,0.29604949968935124
M4:C-ce6d29101514,10.0,20.0,0.3015246949509409,34.62245324400201,21.095118811984587,13.426054591006661,19.455184422129157,26.999832064794735,0.29604949968935124
M4:C-ce6d29101514,20.0,99.0,0.636712789933863,127.05097167156819,21.095118811984587,13.426054591006661,19.455184422129157,26.999832064794735,0.29604949968935124
M4:C-8464df4a18da,0.0,1.0,0.00042774358168973074,93.10861035361683,21.045260497669762,13.516713747015734,19.455184422129157,27.017135284198073,0.2966925298431008
M4:C-8464df4a18da,1.0,3.0,0.0030658822691491065,35.5,21.045260497669762,13.516713747015734,19.455184422129157,27.017135284198073,0.2966925298431008
M4:C-8464df4a18da,3.0,6.0,0.015201410335923433,20.100317324323385,21.045260497669762,13.516713747015734,19.455184422129157,27.017135284198073,0.2966925298431008
M4:C-8464df4a18da,6.0,10.0,0.04598822691843953,15.0526478723948,21.045260497669762,13.516713747015734,19.455184422129157,27.017135284198073,0.2966925298431008
M4:C-8464df4a18da,10.0,20.0,0.30776177606951527,31.881177809199507,21.045260497669762,13.516713747015734,19.455184422129157,27.017135284198073,0.2966925298431008
M4:C-8464df4a18da,20.0,99.0,0.627554960825283,113.32462088214545,21.045260497669762,13.516713747015734,19.455184422129157,27.017135284198073,0.2966925298431008
M4:C-bafff098d167,0.0,1.0,0.000445227783109595,93.28481127011946,21.073778224632782,13.81444472783418,19.455184422129157,27.029129725834057,0.296425248184753
M4:C-bafff098d167,1.0,3.0,0.0030838995733045806,35.0,21.073778224632782,13.81444472783418,19.455184422129157,27.029129725834057,0.296425248184753
M4:C-bafff098d167,3.0,6.0,0.015159544270905548,19.538861614259304,21.073778224632782,13.81444472783418,19.455184422129157,27.029129725834057,0.296425248184753
M4:C-bafff098d167,6.0,10.0,0.04622301118563963,14.49520096503852,21.073778224632782,13.81444472783418,19.455184422129157,27.029129725834057,0.296425248184753
M4:C-bafff098d167,10.0,20.0,0.3121588119855804,29.956633027000297,21.073778224632782,13.81444472783418,19.455184422129157,27.029129725834057,0.296425248184753
M4:C-bafff098d167,20.0,99.0,0.6229295052014602,102.96190797374652,21.073778224632782,13.81444472783418,19.455184422129157,27.029129725834057,0.296425248184753
