design,arm,fidelity,status,feasible,peak_heat_flux_w_m2,peak_bondline_temperature_k,max_g,integrated_external_heat_j_m2,peak_surface_temperature_k,max_dynamic_pressure_pa,entry_duration_s,nose_radius_m,diameter_m,mass_kg,cd,entry_flight_path_angle_deg,shoulder_radius_m,cone_half_angle_deg,surface_training_hash,gate_G4_status_at_build,gate_G4_status_at_evaluation,bluntness_ratio,aero_shape_extrapolated,aero_time_fraction_below_cfd_mach,aero_time_fraction_above_cfd_mach,aero_heat_fraction_below_cfd_mach,aero_heat_fraction_above_cfd_mach,aero_mach_top_of_table,aero_cd_at_peak_heating,aero_mach_at_peak_heating,aero_cd_fore_std_max
b0.7_t25,surface,0,"invalid geometry: cone_half_angle_deg (25.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-370.017 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",False,,,,,,,,0.84,1.2,350.0,,-3.0,0.12,25.0,,,,0.7,,,,,,,,,
b0.7_t40,constant,0,"invalid geometry: cone_half_angle_deg (40.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-85.272 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",False,,,,,,,,0.84,1.2,350.0,,-3.0,0.12,40.0,,,,0.7,,,,,,,,,
b0.7_t40,surface,0,"invalid geometry: cone_half_angle_deg (40.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-85.272 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",False,,,,,,,,0.84,1.2,350.0,,-3.0,0.12,40.0,,,,0.7,,,,,,,,,
b0.7_t55,constant,0,OK,False,1412641.5193210244,486.89351245970647,11.892458216639486,99167150.1019071,2304.8346737892275,30076.461121271754,244.47913113804069,0.84,1.2,350.0,1.2,-3.0,0.12,55.0,,,,0.7,,,,,,,,,
b0.7_t55,surface,1,OK,False,1368845.247155805,484.92296486983093,11.800476980679884,95909983.52946736,2286.203840708782,27923.386366970855,245.7819017786542,0.84,1.2,350.0,1.2,-3.0,0.12,55.0,b63b68a40321f38b,PASS,PASS,0.7,0.0,0.14343990232405937,0.08630026708252576,0.002361860351493433,0.03399707891474254,27.0,1.2833444963392557,19.386876770110206,0.009585598529806226
b0.7_t69,constant,0,OK,False,1412641.5193210244,486.89351245970647,11.892458216639486,99167150.1019071,2304.8346737892275,30076.461121271754,244.47913113804069,0.84,1.2,350.0,1.2,-3.0,0.12,69.0,,,,0.7,,,,,,,,,
b0.7_t69,surface,1,OK,False,1322925.8712548292,482.792067143759,11.69904661915897,92563814.96694526,2266.188532146542,25831.614957072128,246.86643403070443,0.84,1.2,350.0,1.2,-3.0,0.12,69.0,b63b68a40321f38b,PASS,PASS,0.7,0.0,0.14999569848097402,0.08586082760330313,0.0024101639753290696,0.03518904124427539,27.0,1.3780207266582025,19.447964227040078,0.02557663861347881
b0.9_t25,constant,0,"invalid geometry: cone_half_angle_deg (25.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-836.477 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",False,,,,,,,,1.08,1.2,350.0,,-3.0,0.12,25.0,,,,0.9,,,,,,,,,
b0.9_t25,surface,0,"invalid geometry: cone_half_angle_deg (25.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-836.477 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",False,,,,,,,,1.08,1.2,350.0,,-3.0,0.12,25.0,,,,0.9,,,,,,,,,
b0.9_t40,constant,0,"invalid geometry: cone_half_angle_deg (40.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-304.377 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",False,,,,,,,,1.08,1.2,350.0,,-3.0,0.12,40.0,,,,0.9,,,,,,,,,
b0.9_t40,surface,0,"invalid geometry: cone_half_angle_deg (40.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-304.377 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",False,,,,,,,,1.08,1.2,350.0,,-3.0,0.12,40.0,,,,0.9,,,,,,,,,
b0.9_t55,constant,0,"invalid geometry: cone_half_angle_deg (55.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-49.458 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",False,,,,,,,,1.08,1.2,350.0,,-3.0,0.12,55.0,,,,0.9,,,,,,,,,
b0.9_t55,surface,0,"invalid geometry: cone_half_angle_deg (55.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-49.458 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",False,,,,,,,,1.08,1.2,350.0,,-3.0,0.12,55.0,,,,0.9,,,,,,,,,
b0.9_t69,constant,0,OK,False,1325255.514012723,482.9987713887646,11.892458216639486,93032670.13180152,2267.283511746773,30076.461121271754,244.47913113804069,1.08,1.2,350.0,1.2,-3.0,0.12,69.0,,,,0.9,,,,,,,,,
b0.9_t69,surface,1,OK,False,1246499.7993570957,479.3192619091789,11.69508950506383,87301549.92381631,2231.7245781850265,26152.274109419483,246.6064421495621,1.08,1.2,350.0,1.2,-3.0,0.12,69.0,b63b68a40321f38b,PASS,PASS,0.9,0.0,0.1484409646724574,0.08595848139311717,0.0024082493497670004,0.03500613137254875,27.0,1.3643634209110544,19.474367827941084,0.013723635328501809
b1.1_t25,constant,0,"invalid geometry: cone_half_angle_deg (25.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-1302.937 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",False,,,,,,,,1.32,1.2,350.0,,-3.0,0.12,25.0,,,,1.1,,,,,,,,,
b1.1_t25,surface,0,"invalid geometry: cone_half_angle_deg (25.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-1302.937 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",False,,,,,,,,1.32,1.2,350.0,,-3.0,0.12,25.0,,,,1.1,,,,,,,,,
b1.1_t40,constant,0,"invalid geometry: cone_half_angle_deg (40.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-523.482 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",False,,,,,,,,1.32,1.2,350.0,,-3.0,0.12,40.0,,,,1.1,,,,,,,,,
b1.1_t40,surface,0,"invalid geometry: cone_half_angle_deg (40.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-523.482 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",False,,,,,,,,1.32,1.2,350.0,,-3.0,0.12,40.0,,,,1.1,,,,,,,,,
b1.1_t55,constant,0,"invalid geometry: cone_half_angle_deg (55.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-145.847 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",False,,,,,,,,1.32,1.2,350.0,,-3.0,0.12,55.0,,,,1.1,,,,,,,,,
b1.1_t55,surface,0,"invalid geometry: cone_half_angle_deg (55.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-145.847 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",False,,,,,,,,1.32,1.2,350.0,,-3.0,0.12,55.0,,,,1.1,,,,,,,,,
b1.1_t69,constant,0,OK,False,1271833.9005110331,480.52039489783976,11.892458216639486,89282483.62492721,2243.385081936351,30076.461121271754,244.47913113804069,1.32,1.2,350.0,1.2,-3.0,0.12,69.0,,,,1.1,,,,,,,,,
b1.1_t69,surface,1,OK,False,1197303.6109269748,476.99534724189704,11.684598073840318,83904996.31601137,2208.6696022502556,26248.975843272827,246.4879023801568,1.32,1.2,350.0,1.2,-3.0,0.12,69.0,b63b68a40321f38b,PASS,PASS,1.1,0.0,0.14768897605907752,0.08600033563319665,0.0024079523502198233,0.03495537152582168,27.0,1.3610554877109537,19.362171536459215,0.0048204651653771325
