# AETHER M8 acquisition TEMPLATE - this file contains NO DATA.
# Copy it to experiments/thermal_coupon/data/<run_id>.csv, copy
# metadata_template.meta.yaml to <run_id>.meta.yaml, fill BOTH in, and delete these
# comment lines from the copy if your logger cannot emit them.
#
# Units are in the column names and are not negotiable: seconds, W/m^2, degrees Celsius.
# Temperatures are converted to Kelvin exactly once, in analysis/coupon_model.py.
# Sensor DEPTHS are not in this file - they live in the metadata sidecar, because a
# depth is a measured quantity with an uncertainty, not a column heading.
#
# quality_flag: 0 = good, 1 = suspect, 2 = reject. Flag bad samples; never delete rows.
# Missing values: leave the field EMPTY. Do not write -999; it will be fitted.
#
# The two rows below are FORMAT EXAMPLES with placeholder zeros. Delete them.
time_s,heater_v,heater_a,heater_flux_w_m2,t_ch1_degc,t_ch2_degc,t_ch3_degc,t_ch4_degc,t_ambient_degc,quality_flag
0.0,0.000,0.000,0.0,0.00,0.00,0.00,0.00,0.00,0
1.0,0.000,0.000,0.0,0.00,0.00,0.00,0.00,0.00,0
