iteration,cd_fore,cd_aft,cd_viscous,cd_total,mean_abs_drho_dtau_kg_m3_s
5,0.17782089774531662,,0.0,0.17782089774531662,11.674156695
10,0.4106802747199031,,0.0,0.4106802747199031,11.670137211
15,0.7020790005894336,,0.0,0.7020790005894336,11.664493827
20,1.0412224871517948,,0.0,1.0412224871517948,11.65702971
25,1.3941990295402646,,0.0,1.3941990295402646,11.647700797
30,1.7117895338388411,,0.0,1.7117895338388411,11.636559448
35,1.950329775740205,,0.0,1.950329775740205,11.623758439
40,2.095140161733488,,0.0,2.095140161733488,12.617369567
45,2.1412006544694426,,0.0,2.1412006544694426,16.258988939
50,2.0801561611809802,,0.0,2.0801561611809802,21.753593961
55,1.9134655482429261,,0.0,1.9134655482429261,24.558961087
60,1.706087915645883,,0.0,1.706087915645883,23.009908656
65,1.5272648005473115,,0.0,1.5272648005473115,21.264133773
70,1.3911852705920413,,0.0,1.3911852705920413,20.632068908
75,1.289285089259339,,0.0,1.289285089259339,20.07099976
80,1.2164407912160915,,0.0,1.2164407912160915,19.148106878
85,1.1737427226112545,,0.0,1.1737427226112545,19.155745291
90,1.1596887580652855,,0.0,1.1596887580652855,19.368204284
95,1.1662670193937368,,0.0,1.1662670193937368,18.206607386
100,1.1815519537795725,,0.0,1.1815519537795725,16.683262596
105,1.196461418510797,,0.0,1.196461418510797,15.99653697
110,1.2087168440625489,,0.0,1.2087168440625489,15.681758971
115,1.2177418139972462,,0.0,1.2177418139972462,15.314008453
120,1.2239452097395807,,0.0,1.2239452097395807,15.180153243
125,1.227558636196527,,0.0,1.227558636196527,14.823368834
130,1.228866137540614,,0.0,1.228866137540614,13.85760484
135,1.2288464590923274,,0.0,1.2288464590923274,13.431515452
140,1.2282663164282723,,0.0,1.2282663164282723,13.410774661
145,1.2275277540260172,,0.0,1.2275277540260172,13.510116197
150,1.2268310102962545,,0.0,1.2268310102962545,13.65078303
155,1.2262364712509048,,0.0,1.2262364712509048,13.765558395
160,1.2258153294170275,,0.0,1.2258153294170275,13.743086178
165,1.2250919169647105,,0.0,1.2250919169647105,13.616718797
170,1.223843998618552,,0.0,1.223843998618552,13.545913527
175,1.2225237874917518,,0.0,1.2225237874917518,13.589430266
180,1.221471554102443,,0.0,1.221471554102443,13.726700653
185,1.2208131653825207,,0.0,1.2208131653825207,13.903855266
190,1.2204490342098062,,0.0,1.2204490342098062,14.251265674
195,1.2202428136686416,,0.0,1.2202428136686416,14.535096968
200,1.2198272870103233,,0.0,1.2198272870103233,14.53228112
205,1.218939416375768,,0.0,1.218939416375768,14.414413668
210,1.217618455332703,,0.0,1.217618455332703,14.368924921
215,1.2159542054662185,,0.0,1.2159542054662185,14.461919691
220,1.2140251435577387,,0.0,1.2140251435577387,14.582816153
225,1.2119273897490916,,0.0,1.2119273897490916,14.709891331
230,1.2097999859165827,,0.0,1.2097999859165827,14.960940651
235,1.2077883792481603,,0.0,1.2077883792481603,15.183867567
240,1.205911698894744,,0.0,1.205911698894744,15.10089759
245,1.2040586122666954,,0.0,1.2040586122666954,14.941475436
250,1.202109766121912,,0.0,1.202109766121912,14.875297833
255,1.2000056188900419,,0.0,1.2000056188900419,14.884223409
260,1.1976936435902386,,0.0,1.1976936435902386,14.906614702
265,1.1951315670107678,,0.0,1.1951315670107678,15.02313543
270,1.1922980765185762,,0.0,1.1922980765185762,15.198574542
275,1.189254972614686,,0.0,1.189254972614686,15.32539709
280,1.1861368369663483,,0.0,1.1861368369663483,15.322478092
285,1.1830789560625716,,0.0,1.1830789560625716,15.130357093
290,1.1801628683820709,,0.0,1.1801628683820709,14.995991362
295,1.177438631286617,,0.0,1.177438631286617,14.949351903
300,1.1749133447964513,,0.0,1.1749133447964513,14.961899077
305,1.1725346360145388,,0.0,1.1725346360145388,15.07413271
310,1.1702100617547924,,0.0,1.1702100617547924,15.249832708
315,1.1678616171638443,,0.0,1.1678616171638443,15.419912414
320,1.1654617110534518,,0.0,1.1654617110534518,15.465789205
325,1.163028821228838,,0.0,1.163028821228838,15.331787119
330,1.160573831559901,,0.0,1.160573831559901,15.176282471
335,1.1580929694596964,,0.0,1.1580929694596964,15.106532763
340,1.1555714669210473,,0.0,1.1555714669210473,15.12106356
345,1.1530065388816,,0.0,1.1530065388816,15.231100666
350,1.1504034643525713,,0.0,1.1504034643525713,15.390848989
355,1.1477852090830345,,0.0,1.1477852090830345,15.577635497
360,1.145185026524827,,0.0,1.145185026524827,15.695699459
365,1.142649510653543,,0.0,1.142649510653543,15.69246435
370,1.1402373975372688,,0.0,1.1402373975372688,15.545096508
375,1.1380224721060848,,0.0,1.1380224721060848,15.426947039
380,1.1359964249950034,,0.0,1.1359964249950034,15.384847181
385,1.1340997269586321,,0.0,1.1340997269586321,15.402603877
390,1.1322527124317991,,0.0,1.1322527124317991,15.501593577
395,1.1303850056378735,,0.0,1.1303850056378735,15.625983368
400,1.1284494331244788,,0.0,1.1284494331244788,15.7632852
405,1.1264362591782087,,0.0,1.1264362591782087,15.870440862
410,1.1243614397605635,,0.0,1.1243614397605635,15.845068708
415,1.1222621701420492,,0.0,1.1222621701420492,15.706292896
420,1.1202048007706662,,0.0,1.1202048007706662,15.549096052
425,1.1182628285769856,,0.0,1.1182628285769856,15.494462974
430,1.1164777877263046,,0.0,1.1164777877263046,15.496300935
435,1.114852405541382,,0.0,1.114852405541382,15.549139843
440,1.1133528936060528,,0.0,1.1133528936060528,15.662857049
445,1.1119263634849532,,0.0,1.1119263634849532,15.76533354
450,1.1104529439093769,,0.0,1.1104529439093769,15.861435034
455,1.108816035821697,,0.0,1.108816035821697,15.872355981
460,1.106956209070935,,0.0,1.106956209070935,15.775183027
465,1.1048825256594388,,0.0,1.1048825256594388,15.631592177
470,1.1026574094663109,,0.0,1.1026574094663109,15.533049079
475,1.1003612809495353,,0.0,1.1003612809495353,15.512680065
480,1.0980840790003548,,0.0,1.0980840790003548,15.536634846
485,1.0959371876036317,,0.0,1.0959371876036317,15.591956532
490,1.0939955728483075,,0.0,1.0939955728483075,15.650076163
495,1.0922985233707643,,0.0,1.0922985233707643,15.698475385
500,1.09082691144611,,0.0,1.09082691144611,15.763961776
505,1.0894666110116964,,0.0,1.0894666110116964,15.737568173
510,1.088105912860903,,0.0,1.088105912860903,15.673981426
515,1.0866689531472236,,0.0,1.0866689531472236,15.621870647
520,1.085096035954571,,0.0,1.085096035954571,15.546555733
525,1.0833374091203298,,0.0,1.0833374091203298,15.508912849
530,1.0814170710708766,,0.0,1.0814170710708766,15.517217667
535,1.0793992675092114,,0.0,1.0793992675092114,15.541859243
540,1.0773585028839952,,0.0,1.0773585028839952,15.56735179
545,1.0753813680921738,,0.0,1.0753813680921738,15.599678332
550,1.073544755539536,,0.0,1.073544755539536,15.548475445
555,1.0718805472024877,,0.0,1.0718805472024877,15.537699794
560,1.0703890983803424,,0.0,1.0703890983803424,15.496359973
565,1.069053932873198,,0.0,1.069053932873198,15.482540551
570,1.0678249700517395,,0.0,1.0678249700517395,15.478100513
575,1.0666333584762697,,0.0,1.0666333584762697,15.465194749
580,1.065415900763748,,0.0,1.065415900763748,15.427552002
585,1.064159316269055,,0.0,1.064159316269055,15.397777375
590,1.0628404083865988,,0.0,1.0628404083865988,15.344034912
595,1.061440248438845,,0.0,1.061440248438845,15.322323817
600,1.0599913304448099,,0.0,1.0599913304448099,15.295946038
605,1.0585275649497958,,0.0,1.0585275649497958,15.302030892
610,1.0570424448703046,,0.0,1.0570424448703046,15.330695142
615,1.0555403293711005,,0.0,1.0555403293711005,15.344683911
620,1.0540670465778297,,0.0,1.0540670465778297,15.306631179
625,1.052648326115212,,0.0,1.052648326115212,15.260111039
630,1.051243926832724,,0.0,1.051243926832724,15.176932865
635,1.0498567777197165,,0.0,1.0498567777197165,15.157849588
