x_m,r_m,p_pa,cp
2.615956042e-05,0.0070738047,934022.431,1.8283802292768958
0.0001045076046,0.01650520241,935232.1674,1.830750866941015
0.0002611562102,0.02687891915,934284.3009,1.8288933978052127
0.0004961537775,0.03738593299,933505.8172,1.8273678565549678
0.0008094368981,0.04793584129,932628.4503,1.8256485406623555
0.001201018964,0.05850356723,931710.8012,1.8238502864981383
0.001670895755,0.0690791114,930232.222,1.8209528159905937
0.002218974692,0.07965750283,928897.5386,1.818337328238291
0.002845296704,0.09023583335,927244.9826,1.815098927297668
0.003549800705,0.1008121811,925575.924,1.81182818734078
0.004332429497,0.1113851364,923726.7358,1.8082044597295708
0.005193184487,0.1219535767,922027.469,1.804874522829708
0.00613194935,0.1325165626,919895.2947,1.800696246717617
0.007148744366,0.1430732518,917963.6627,1.7969109596315893
0.008243510437,0.1536228821,915716.7514,1.7925078412698412
0.009416122556,0.1641647456,913594.0518,1.7883481320791692
0.01066658485,0.1746981555,911231.7916,1.7837189723691946
0.01199478118,0.1852224629,908954.0721,1.7792554812855184
0.0134006662,0.195737027,906446.3065,1.7743411845972956
0.01488418376,0.2062412224,903956.9413,1.769462945914168
0.01644518489,0.216734446,901240.9478,1.7641405992553398
0.01808365397,0.2272160832,898466.8295,1.7587043494023125
0.01979947632,0.2376855407,895439.6182,1.7527721305114639
0.02159253981,0.2481422283,892290.4612,1.7466009429747207
0.02346279048,0.2585855512,888853.8374,1.7398664264158337
0.02541005805,0.2690149376,885260.2581,1.7328243349010386
0.02743430588,0.2794297928,881340.1239,1.7251423160885753
0.02953542075,0.2898295398,877232.7619,1.7170933997648443
0.03171322459,0.300213615,872743.1884,1.7082954897119342
0.03396766512,0.3105814311,868061.8613,1.6991218132471095
0.03629857191,0.3209324275,863019.039,1.6892397393689986
0.03870584567,0.3312660275,857752.1061,1.6789184912796393
0.04118937517,0.341581659,852160.7456,1.667961484616892
0.04374895803,0.3518787717,846292.2877,1.6564614691358024
0.04638452278,0.362156784,840000.2851,1.6441314620811287
0.04909590062,0.3724151398,833329.3538,1.6310588943758575
0.0518829269,0.3826532814,826168.3929,1.6170260491867527
0.0547454921,0.3928706374,818639.7606,1.6022727035077406
0.05768337348,0.4030666682,810670.0891,1.5866550834803057
0.06069647856,0.4132407966,802362.4746,1.5703752196747012
0.06378464007,0.4233924685,793571.4653,1.5531480801489321
0.06694762912,0.4335211471,784323.1188,1.5350247281990987
0.07018533742,0.44362626,774352.669,1.5154863198118753
0.07349754157,0.4537072716,763618.4688,1.4944512420145013
0.07688408961,0.4637636216,751697.4757,1.471090487360376
0.08034481594,0.4737947559,738438.0079,1.4451068154027042
0.08387946673,0.4838001498,722981.0457,1.4148168640015677
0.08748791546,0.4937792345,704782.9682,1.3791553364687439
0.09116994054,0.5037314756,681799.6645,1.3341165285126395
0.0949156863,0.5136600318,651916.3722,1.275556284930433
0.09878007378,0.5235415585,617446.5371,1.2080081071918478
0.1031366197,0.5332047288,522804.4394,1.0225444628649814
0.1083032985,0.5424583497,451611.102,0.8830317499510092
0.1142685309,0.5512193704,379670.1821,0.7420540507544581
0.1209852623,0.5594195233,323152.8652,0.6313009312169312
0.1284012297,0.5669943007,258028.5797,0.5036813241230649
0.136458252,0.5738846888,217778.3599,0.4248057219282775
0.1450932396,0.5800366228,173878.4864,0.338778143053106
0.1542387875,0.5854018733,143644.8719,0.27953139702136
0.1638230173,0.5899388062,111682.8375,0.21689758475406623
0.1737711635,0.5936115352,88317.52143,0.17111017329022143
0.1840052152,0.5963917495,66293.79518,0.12795178361747991
0.1944451683,0.5982572463,49950.38703,0.09592472473055065
0.2050093279,0.5991938918,32369.04433,0.06147177019400353
