x_m,r_m,p_pa,cp
2.615016998e-05,0.00707264266,930644.9105,1.8217615334117185
0.0001044760434,0.01650249108,931864.0623,1.8241506217911032
0.0002610663823,0.02687450423,931061.6976,1.822578282578875
0.0004959848739,0.0373797929,930340.2083,1.8211644293552813
0.0008091824176,0.04792796909,929849.3082,1.8202024460121498
0.001200626296,0.05849396185,928818.8915,1.8181832088967276
0.001670344076,0.06906777219,927872.2244,1.816328090143053
0.002218250284,0.07964443023,926707.8938,1.8140464311189495
0.002844355282,0.09022102976,925279.8809,1.8112480519302372
0.003548643789,0.1007956466,924089.3559,1.8089150615324319
0.004330997603,0.1113668761,922431.4783,1.8056662322163433
0.005191456869,0.1219335926,920820.247,1.802508812463257
0.006129964388,0.1324948524,918985.3634,1.7989131165980796
0.007146405037,0.1430498256,917341.662,1.7956920674113266
0.008240796932,0.1535977427,915378.0744,1.791844159122085
0.009413042474,0.164137894,913525.016,1.788212847344699
0.01066307227,0.1746696004,911366.3874,1.7839827305506566
0.01199086135,0.1851922025,909268.0212,1.7798707058592984
0.01339627127,0.1957050722,906908.9731,1.7752478406819516
0.01487927828,0.2062075793,904504.0411,1.7705350599647267
0.01643981478,0.2166991102,901836.2359,1.7653071446208113
0.01807771618,0.2271790724,899049.1986,1.759845578287282
0.01979297429,0.2376468557,895977.4164,1.7538260168528317
0.02158547985,0.248101871,892759.1339,1.7475193688026651
0.02345508563,0.2585435387,889247.8332,1.74063851303155
0.02540175513,0.2689712633,885557.4174,1.7334066576523615
0.02742533823,0.2793844725,881562.1526,1.725577410542818
0.02952573326,0.2897825862,877350.9505,1.717325005878895
0.03170286142,0.3001650221,872823.6467,1.7084531583382325
0.03395653186,0.3105312221,868069.6003,1.699136978835979
0.03628668806,0.3208806002,862993.4584,1.6891896108171665
0.03869320934,0.331212586,857684.3022,1.6787856206153244
0.04117588617,0.3415266298,852052.3499,1.667749068979032
0.04373466282,0.3518221464,846168.8737,1.6562196231628454
0.04636937775,0.3620985774,839943.2956,1.6440197836566726
0.04907985286,0.3723553684,833441.7455,1.6312791407015481
0.05186599754,0.3825919432,826565.5122,1.617804256711738
0.05472760989,0.3928077559,819361.9925,1.6036880119537529
0.0576645566,0.4030022414,811684.8339,1.5886436094454242
0.06067670566,0.413174835,803579.7543,1.5727606394277875
0.06376381545,0.4233250044,794899.7345,1.5557509984322948
0.06692579627,0.4334521712,785698.7108,1.5377203817362335
0.07016247519,0.4435557837,775784.061,1.518291320791691
0.07347359968,0.4536353146,765155.3406,1.4974629445424261
0.07685906677,0.4636901889,753472.046,1.4745679913776208
0.0803186637,0.4737198685,740671.1521,1.4494829553203996
0.08385218225,0.483723813,725942.484,1.420620192043896
0.08745128102,0.4937044679,708859.5664,1.3871439670781893
0.0910810517,0.5036741422,686935.0058,1.3441799055457575
0.09471290464,0.5136430789,655898.1207,1.2833590450715264
0.09848746019,0.5235560657,612682.641,1.1986726259063294
0.1028252431,0.5332241911,518684.3349,1.0144705759357242
0.1079927088,0.5424754174,448471.326,0.876878945718205
0.1139582139,0.5512341432,376296.173,0.7354422359396434
0.1206753585,0.5594316983,320373.9991,0.6258553774250442
0.1280908757,0.5670045479,256218.723,0.5001346717617088
0.1361473763,0.5738927835,216468.2108,0.4222383123652753
0.1447817898,0.5800426163,173028.596,0.33711267097785613
0.153926086,0.5854065134,142805.5449,0.27788662531844016
0.1635091657,0.5899418151,110648.3947,0.21487045796590243
0.1734558659,0.5936135146,87312.53876,0.16914077750342935
0.1836883477,0.5963927882,65365.18717,0.12613205402704292
0.1941266968,0.5982575046,49164.39097,0.0943844620223398
0.2046891138,0.5991939863,31844.35936,0.06044358095238095
