point_id,role,split,mach,bluntness_ratio,cone_half_angle_deg,shoulder_ratio,diameter_m,label,mesh_level,attempts,verdict,reasons,case,attempt,sizing_radius_m,standoff_margin,asymptote_margin_deg,status,n_cells,h_m,solver_wall_time_s,total_wall_time_s,shock_clearance_ok,outer_outlet_min_mach,outer_outlet_n_faces,outer_outlet_mach_deficit_rel,p_stag_rel_error_vs_rayleigh_pitot,cd_total,cd_fore,cd_aft,mesh_extent,outlet_min_mach,cd_total_last_iteration,standoff_m,standoff_over_max_radius,upstream_clearance_fraction,shock_thickness_m,shock_thickness_cells,stagnation_line_cell_size_at_shock_m,p_stag_wall_face_pa,p_stag_line_extrapolated_pa,p_max_on_body_pa,p_stag_over_p_inf,final_mean_abs_drho_dtau,initial_mean_abs_drho_dtau,n_iterations,n_iterations_planned,n_extensions,startup_first_order_iterations,cd_fore_peak_to_peak_rel,cd_fore_drift_rel,cd_fore_converged,max_non_orthogonality_deg,max_skewness,nose_radius_m,shoulder_radius_m,patience_pass,gate_G4_status_at_build
dp022,fill,train,12.85410397448922,0.2704371547326445,66.64569199085236,0.0301569341123104,1.2,draw0,coarse,1,USABLE,,dp022_coarse_a0,0,1.132913839817047,2.0,6.0,OK,3072,0.011359302853189,214.21138295800483,229.96226229199965,True,12.854103975517829,2,-8.002154494590741e-11,-0.0021779548828784,1.5053869576509744,1.5053869576509744,,forebody,1.4999762858690713,1.5056855107050895,0.0900144008939917,0.1500240014899863,0.7275838299236698,0.0086141516279317,1.4839694946259812,0.00580480371,212655.279,212737.10215292763,213203.1911,212.73710215292763,0.98162843723,52.16324899,20000,10000,2,1500,0.0003506877474336,0.0001133533698122,True,62.84781661,1.155710676,0.3245245856791734,0.0361883209347724,,IN_PROGRESS
dp023,fill,test,9.462523078153232,0.6071282286196947,44.13978986442089,0.0849471478164196,1.2,draw4,coarse,1,USABLE,,dp023_coarse_a0,0,0.7285538743436336,2.0,49.30239718287338,OK,3072,0.0096164209034713,209.54945904300257,226.54207183200924,True,9.462523079606692,2,-1.5360179794754458e-10,-0.001960635607816,1.142940719122998,1.142940719122998,,forebody,1.7883997696464793,1.142877958477728,0.100219849202577,0.167033082004295,0.5361142813399598,0.0081837027118232,1.653528282581596,0.00494923661,115503.2184,115521.4421762943,115720.2225,115.5214421762943,0.91573609536,50.083390188,20000,10000,2,1500,0.0005117692737913,5.032053334142496e-05,True,57.08342139,1.283910105,0.7285538743436336,0.1019365773797035,,IN_PROGRESS
dp024,fill,test,5.144832881715895,0.49076446313411,25.76896709389985,0.0792422201484441,1.2,draw6,coarse,1,USABLE,,dp024_coarse_a0,0,0.6,2.0,24.74778852972969,OK,3072,0.0096265063617717,159.49905816699902,174.947430331973,True,5.144832880250614,2,2.8480640068551106e-10,-0.0099317992673252,0.868047046432721,0.868047046432721,,forebody,1.8609596709002991,0.8680025209752018,0.093195472335517,0.1553257872258617,0.5194735373042714,0.0070440788497679,1.5393636165398714,0.0045759681299999,34198.29595,34201.93886341618,34294.54232,34.20193886341618,3.6462010718,27.698605867,15000,10000,1,1500,0.0002771814438667,7.387086754543305e-06,True,43.48804499,1.044481145,0.588917355760932,0.095090664178133,,IN_PROGRESS
dp025,fill,train,4.813687125797088,0.3249850042164325,41.39622909016907,0.0252209525555372,1.2,draw10,coarse,1,USABLE,,dp025_coarse_a0,0,0.6279245818033815,2.0,41.911170075393656,OK,3072,0.0115668402844813,106.06970974999422,123.62781708300464,True,4.8136871263053695,2,-1.0559086938144445e-10,-0.0049934192287477,0.9301443940141364,0.9301443940141364,,forebody,1.5991119336931814,0.930085781312856,0.0634082737372793,0.1056804562287989,0.6929942132228453,0.0058713163292685,1.525485564336588,0.00384881802,30143.36551,30148.34971155528,30209.04928,30.148349711555277,0.054255767738,15.579421084,10000,10000,0,1500,0.0004675141734094,0.0001605466379026,True,55.14108682,1.057370164,0.3899820050597191,0.0302651430666446,,IN_PROGRESS
dp026,fill,train,11.334642525413372,0.4464926455169916,51.023043394088745,0.0642659969627857,1.2,draw12,coarse,1,USABLE,,dp026_coarse_a0,0,0.820460867881775,2.0,58.82614891334539,OK,3072,0.0119428279443355,145.71365133400832,162.26801583300403,True,11.334642525536443,2,-1.0858203225438956e-11,-0.0038825005837758,1.1992380100914355,1.1992380100914355,,forebody,1.740647243602376,1.1992375428268462,0.0728747758606216,0.1214579597677027,0.6971686611506223,0.0071117130695158,1.5858802363642517,0.0044843947899999,165210.0212,165234.81988367357,165664.4839,165.23481988367357,0.39411301497,31.671134302,15000,10000,1,1500,8.082045139309513e-05,1.1584176083515547e-05,True,64.00317973,1.341991446,0.5357911746203899,0.0771191963553428,,IN_PROGRESS
dp027,fill,train,6.137030953140419,0.553734259493649,68.5897280741483,0.0999624370783567,1.2,draw14,coarse,1,USABLE,,dp027_coarse_a0,0,1.171794561482966,2.0,6.0,OK,3072,0.0122267431089377,152.41152725000575,166.84917887600022,True,6.137030953439124,2,-4.8672621488776706e-11,-0.0079597674582583,1.3468618605579754,1.3468618605579754,,forebody,1.6547003824834867,1.346873060551789,0.1367143551235216,0.2278572585392028,0.6256859697738096,0.012002243253392,1.614090166611437,0.0074359186999999,48564.14324,48566.7845412774,48649.88504,48.5667845412774,0.73573248051,19.635099963,15000,10000,1,1500,0.0003913047669106,0.0001237376775356,True,56.02212211,0.8486169845,0.6644811113923788,0.1199549244940281,,IN_PROGRESS
dp028,fill,train,15.403960369410036,0.5780418107286096,53.473076624795794,0.0761714966595173,1.2,draw16,coarse,1,USABLE,,dp028_coarse_a0,0,0.869461532495916,2.0,63.24340588138521,OK,3072,0.0118893075046206,148.48526016502,163.17796420400555,True,15.403960368900403,2,3.308442408922474e-11,-0.0090394480581901,1.2590195548127372,1.2590195548127372,,forebody,1.8295716469058416,1.2589478023410394,0.0926438492719351,0.1544064154532251,0.6324892462856724,0.0076426178920429,1.4891523441959182,0.00513219344,303247.4102,303209.2248035353,304132.8489,303.20922480353534,0.32592427125,42.342950164,15000,10000,1,1500,0.0003942028061545,7.814595362930136e-05,True,66.8581401,1.449689117,0.6936501728743315,0.0914057959914207,,IN_PROGRESS
dp029,fill,train,3.354095120584024,0.4188769411295652,60.12514939531684,0.0806155335158109,1.2,draw18,coarse,1,USABLE,,dp029_coarse_a0,0,1.0025029879063367,2.0,6.0,OK,3072,0.0132456322640464,150.70232933400257,166.13998491498933,True,3.354095120676197,2,-2.7480684394731725e-11,-0.0009304212082005,1.296623903040267,1.296623903040267,,forebody,1.472816871035418,1.2964682958511276,0.130345265479232,0.2172421091320533,0.6591476985005954,0.0118746140099793,1.5708814554583754,0.0075592043999999,14938.337,14941.332852915732,14971.82694,14.941332852915734,0.11732907857,8.6784238001,15000,10000,1,1500,0.0004352828821341,0.0001192195283581,True,50.98929195,0.8181616499,0.5026523293554783,0.0967386402189731,,IN_PROGRESS
dp030,fill,train,7.956512824923746,0.3682430848479271,32.141528306528926,0.0490375317633152,1.2,draw20,coarse,1,USABLE,,dp030_coarse_a0,0,0.6,2.0,34.37720579536831,OK,3072,0.0107920358236304,119.65325037500588,137.08992283399857,True,7.956512824420305,2,6.327405266404185e-11,-0.010838191116358,0.7128114774145509,0.7128114774145509,,forebody,1.860957681896774,0.7127571626031886,0.0629819442893167,0.1049699071488613,0.651284196585963,0.005203712217697,1.4575433135012414,0.0035701938799999,81074.68629,81083.61685140326,81290.29787,81.08361685140326,2.0740522957,31.3138772,10000,10000,0,1500,0.0006343745644433,0.0001192358159363,True,45.66334502,1.030188682,0.4418917018175125,0.0588450381159782,,IN_PROGRESS
dp031,fill,train,15.854455586377377,0.9309335959143936,67.90066666901112,0.0670744486898183,1.2,draw23,coarse,1,USABLE,,dp031_coarse_a0,0,1.1580133333802225,2.0,6.0,OK,3072,0.0106602336920491,278.4322888340248,292.52277770904766,True,15.854455584739158,2,1.0332845690186332e-10,-0.0078147809994365,1.4260253206755005,1.4260253206755005,,forebody,1.6358391415527205,1.4258943072854364,0.1528229312433269,0.254704885405545,0.5444762627570036,0.0113700323920742,1.479410623753297,0.0076855149,321547.5293,321573.3407560516,321976.443,321.5733407560516,2.055405581,75.192928083,25000,10000,3,1500,0.0003888803969243,9.136788215884632e-05,True,59.7274621,0.9259213216,1.1171203150972724,0.080489338427782,,IN_PROGRESS
dp033,fill,train,10.712954107839389,0.6845732152462005,62.84983794204891,0.0295624338090419,1.2,draw28,coarse,1,USABLE,,dp033_coarse_a0,0,1.056996758840978,2.0,6.0,OK,3072,0.0103001119966149,172.23981925100088,188.55891316899215,True,10.712954109217682,2,-1.286566408964518e-10,-0.0085015483483469,1.4714824498656045,1.4714824498656045,,forebody,1.5077659977554032,1.4716581777988502,0.122275387109903,0.2037923118498384,0.6067771171200862,0.0103160028485347,1.582140401722255,0.0065202827999999,146960.4803,146970.5205938573,147201.7222,146.97052059385732,1.0379562247,56.170058577,15000,10000,1,1500,0.0003124962157338,0.0001895044548384,True,59.14015129,0.9625915386,0.8214878582954406,0.0354749205708503,,IN_PROGRESS
dp034,fill,test,7.301871282991542,0.3110683200880885,57.003430631011724,0.0540210231393575,1.2,draw30,coarse,1,USABLE,,dp034_coarse_a0,0,0.9400686126202346,2.0,6.0,OK,3072,0.01117754985742,152.0211955840059,167.55425496002135,True,7.301871281738598,2,1.71592184905478e-10,-0.0106111537983809,1.3868522352509498,1.3868522352509498,,forebody,1.5531869604055135,1.3868292888981175,0.0570432381477836,0.0950720635796393,0.8003417438403106,0.0071211465841937,1.644271287806917,0.00433088301,68350.31758,68377.89744709291,68571.63285,68.3778974470929,0.20510857992,30.040840742,15000,10000,1,1500,0.000363227518907,7.027187965346237e-05,True,50.96826563,0.8122491671,0.3732819841057062,0.064825227767229,,IN_PROGRESS
