x_m,r_m,p_pa,cp
0.0004013352326,0.01265234443,18801.53195,1.7641819532012386
0.001603255441,0.02947705055,18781.383,1.7621851355079192
0.004001935788,0.04787622742,18200.5166,1.7046196392922424
0.007587731716,0.06632727572,17776.07502,1.6625562832997702
0.0123462725,0.08459474956,17180.22355,1.6035057244425348
0.0182587568,0.102561097,16484.39214,1.5345468719437434
0.02530160895,0.1201371256,15741.17758,1.4608922158281274
0.03344633515,0.137244425,14580.58007,1.3458737338332512
0.04266015966,0.1538102056,13687.36777,1.2573538792239196
0.05290616461,0.1697655888,12602.29551,1.1498201622164188
0.06414339485,0.1850449979,11407.87037,1.031449266815034
0.07632703607,0.1995859615,10369.3965,0.9285335814981278
0.08940813937,0.2133295593,9179.641567,0.8106255167638031
0.1033340478,0.2262203994,8184.049241,0.7119595132306158
0.1180489629,0.2382064677,7222.080407,0.6166256924531947
0.133493926,0.2492394671,6132.477735,0.5086429988568579
0.1496072431,0.2592746247,5384.984803,0.4345643440262617
0.166324324,0.2682715338,4513.891534,0.34823654768596574
0.1835597458,0.2762406422,3902.226379,0.2876188081069269
0.2010736341,0.2836156095,3799.650142,0.2774532141203547
0.2186306563,0.290893325,3767.58468,0.2742754365256876
0.2361877244,0.2981710595,3800.116837,0.2774994649092734
0.253744835,0.3054488116,3822.469604,0.27971468707421254
0.2713019853,0.3127265801,3830.1587,0.28047669814369425
0.2888591725,0.320004364,3809.364385,0.27841592296124246
0.3064163942,0.3272821622,3797.34319,0.2772245886797616
0.323973648,0.3345599736,3789.910119,0.2764879504088591
0.341530932,0.3418377976,3775.423893,0.27505232461266493
0.3590882443,0.3491156333,3759.696139,0.273493659894981
0.3766455831,0.35639348,3738.259997,0.27136927784916165
0.3942029468,0.363671337,3729.710471,0.27052199574333
0.411760334,0.3709492038,3718.502571,0.2694112612869461
0.4293177433,0.3782270797,3718.740528,0.2694348434958378
0.4468751735,0.3855049643,3714.611612,0.26902565629139147
0.4644326233,0.392782857,3716.624476,0.2692251367829032
0.4819900918,0.4000607574,3712.476369,0.26881404769630646
0.499547578,0.4073386653,3713.782267,0.2689434658660906
0.5171050808,0.4146165799,3704.660746,0.268039497444769
0.5346625994,0.4218945011,3696.638309,0.26724445134335223
0.5522201331,0.4291724287,3685.415933,0.26613228227459756
0.5697776811,0.436450362,3678.025031,0.26539982307036153
0.5873352426,0.443728301,3672.561195,0.26485834153419235
0.604892817,0.4510062454,3671.218692,0.26472529570581244
0.6224504038,0.4582841949,3674.611158,0.26506149864109124
0.6400080023,0.4655621493,3682.087918,0.26580246661494117
0.6575656119,0.4728401083,3692.286488,0.2668131736256072
0.6751232323,0.4801180716,3703.001901,0.2678751012332307
0.6926808628,0.4873960392,3716.098883,0.2691730490363018
0.7102385031,0.4946740109,3724.43419,0.2699991014358983
0.7277961527,0.5019519864,3732.872924,0.2708354037424908
0.7453538112,0.5092299657,3734.404627,0.27098719982374125
0.7629114783,0.5165079484,3735.289702,0.2710749132490024
0.7804691535,0.5237859346,3732.795045,0.27082768571424926
0.7980268366,0.531063924,3732.607681,0.2708091174141497
0.8155845273,0.5383419166,3735.476357,0.2710934112852051
0.8331422251,0.5456199121,3744.074574,0.27194551880627205
0.85069993,0.5528979105,3752.792524,0.2728094922048598
0.8682576415,0.5601759117,3764.915995,0.274010962325995
0.8858153594,0.5674539156,3777.767432,0.27528457592800315
0.9033730835,0.574731922,3794.93577,0.2769860065774063
0.9209308135,0.5820099308,3808.798623,0.27835985435360744
0.9385062747,0.5892428818,3781.260713,0.2756307699137214
0.9564634026,0.595300733,3100.879897,0.20820311479600928
0.9750764094,0.5985973009,1690.4631,0.06842683785826545
