x_m,r_m,p_pa,cp
0.0001316403024,0.009194800333,267389.4299,1.8096144551369904
0.000526175997,0.02144785811,268372.8443,1.8162949038105654
0.001314725469,0.0349102125,266554.5833,1.8039432448500465
0.002496656934,0.048519613,265103.5373,1.7940861201974116
0.004071227235,0.06214803587,263097.8355,1.7804611540291337
0.006037104855,0.07575244775,260560.4935,1.7632246939993577
0.0083924757,0.08930947949,257637.0134,1.7433651528371903
0.01113547637,0.1028023145,254252.6693,1.7203749087917843
0.01426405407,0.116216847,250507.4169,1.6949329725868805
0.01777559015,0.1295403691,246383.2678,1.6669171469240462
0.02166703613,0.1427609514,241411.9148,1.6331461663946545
0.02593530133,0.1558670611,236591.1333,1.6003980356196015
0.03057705236,0.168847454,230217.0243,1.5570979700376122
0.03558841222,0.1816912143,224253.0075,1.516583708582076
0.04096514043,0.1943876616,217721.8916,1.472217076823257
0.04670295688,0.2069261984,211067.8865,1.4270156444014246
0.05279729398,0.2192963871,204193.3859,1.3803163603409503
0.05924306733,0.2314880663,197139.8601,1.3324009372246755
0.06603489871,0.2434912573,189799.0325,1.282533839485042
0.07316737147,0.2552960181,182218.5836,1.2310389663175265
0.08063474661,0.2668925987,174568.3466,1.1790700144502515
0.08843080081,0.2782715609,167903.997,1.1337983106338743
0.09654908601,0.2894236362,160625.6682,1.0843557745292542
0.1049831159,0.3003395821,153646.0109,1.0369421487456645
0.1137260589,0.311010413,145943.1597,0.9846157824836025
0.1227706371,0.3214275015,138429.7419,0.9335762593934126
0.1321094134,0.3315823745,132021.36,0.8900433740059123
0.1417349124,0.341466582,125390.9058,0.8450019255935338
0.1516393033,0.351072008,115558.3575,0.7782082786339228
0.1618143523,0.3603909406,109112.1913,0.7344187200913244
0.1722517267,0.3694157973,101050.555,0.6796550848149042
0.1829430547,0.3781390183,92164.27223,0.6192895299238437
0.1938796131,0.3865534613,88141.7763,0.5919642460963651
0.2050523247,0.3946524305,80557.463,0.5404431216091066
0.2164520729,0.4024293112,75274.28456,0.5045538745106725
0.2280696778,0.4098775501,70220.56395,0.4702233612034711
0.2398956429,0.4169910729,66045.38644,0.44186089360220365
0.2518821973,0.4238341984,62020.51275,0.4145194573738266
0.2639283072,0.4305748154,62589.69508,0.4183859793013791
0.2759750005,0.4373144236,62883.20451,0.4203798230790636
0.2880217012,0.4440540359,62724.79137,0.41930370414996315
0.3000684089,0.450793652,62466.02143,0.4175458497780584
0.3121151234,0.457533272,61893.05496,0.41365362174630044
0.3241618443,0.4642728955,61037.46269,0.40784148370434925
0.3362085712,0.4710125225,60126.64538,0.40165419552709797
0.3482553041,0.4777521528,59366.68545,0.3964916991203556
0.3603020426,0.4844917862,58865.02418,0.3930838556255324
0.3723487865,0.4912314226,58479.98461,0.39046823693550664
0.3843955357,0.497971062,58176.44178,0.38840623510184763
0.3964422898,0.5047107041,58081.57312,0.3877617812339148
0.4084890486,0.511450349,57977.88843,0.38705743904634815
0.4205358121,0.5181899964,57873.37827,0.38634748934483154
0.43258258,0.5249296463,57844.28653,0.38614986576326205
0.4446293521,0.5316692985,57800.08373,0.38584959098934346
0.4566761284,0.538408953,57735.36128,0.3854099238406287
0.4687229085,0.5451486097,57757.85716,0.3855627409762197
0.4807696925,0.5518882686,57641.57724,0.38477283792280964
0.4928164801,0.5586279295,57408.96753,0.3831926930432653
0.5048632713,0.5653675923,57125.0759,0.3812641841023015
0.5169100658,0.5721072571,56918.23323,0.37985907772960625
0.5289568637,0.5788469237,56700.3679,0.3783790931424205
0.5410036647,0.5855865921,56642.94602,0.3779890196168751
0.5530504687,0.5923262622,56619.80495,0.37783181963039264
0.5656252698,0.5975612879,33164.37472,0.21849634745494378
