iteration,cd_fore,cd_aft,cd_viscous,cd_total,mean_abs_drho_dtau_kg_m3_s
5,0.006015678381767921,,0.0,0.006015678381767921,46.091255219
10,0.014025651845263968,,0.0,0.014025651845263968,46.005305409
15,0.02470999285121029,,0.0,0.02470999285121029,45.885930604
20,0.03898124356228907,,0.0,0.03898124356228907,45.733723479
25,0.05806031193939459,,0.0,0.05806031193939459,45.549087049
30,0.08357207213422602,,0.0,0.08357207213422602,45.332391449
35,0.11766126052659104,,0.0,0.11766126052659104,45.084140104
40,0.16312391405133303,,0.0,0.16312391405133303,44.80513495
45,0.22353883432704139,,0.0,0.22353883432704139,44.496613189
50,0.30336392247539745,,0.0,0.30336392247539745,44.160334067
55,0.40793024620061336,,0.0,0.40793024620061336,43.798608474
60,0.5431969657003932,,0.0,0.5431969657003932,43.414274357
65,0.7135038183389476,,0.0,0.7135038183389476,43.010752949
70,0.9145228572119971,,0.0,0.9145228572119971,42.591807227
75,1.1437630830175634,,0.0,1.1437630830175634,42.161412651
80,1.3961922266674083,,0.0,1.3961922266674083,41.723825952
85,1.6649234182392187,,0.0,1.6649234182392187,41.283517215
90,1.9341357995614348,,0.0,1.9341357995614348,40.845131583
95,2.175779184663758,,0.0,2.175779184663758,48.699286465
100,2.38416792459018,,0.0,2.38416792459018,56.781923798
105,2.5619228095199,,0.0,2.5619228095199,63.788168891
110,2.692114961847905,,0.0,2.692114961847905,74.315614702
115,2.7716299283570187,,0.0,2.7716299283570187,86.714324478
120,2.801064543296757,,0.0,2.801064543296757,99.267308871
125,2.7752641466806605,,0.0,2.7752641466806605,113.88902779
130,2.7032410332373975,,0.0,2.7032410332373975,131.33934078
135,2.595630622148641,,0.0,2.595630622148641,142.27056134
140,2.4584403456096187,,0.0,2.4584403456096187,149.58331546
145,2.3005067011117055,,0.0,2.3005067011117055,153.34563247
150,2.1394802563551214,,0.0,2.1394802563551214,153.21034338
155,1.9806253481678187,,0.0,1.9806253481678187,149.66541315
160,1.8274867130888424,,0.0,1.8274867130888424,143.60593638
165,1.6846254192770764,,0.0,1.6846254192770764,136.03690081
170,1.5595222007559972,,0.0,1.5595222007559972,128.09626559
175,1.4550905819445714,,0.0,1.4550905819445714,120.44694352
180,1.3683240929329394,,0.0,1.3683240929329394,114.1375771
185,1.2975333539854068,,0.0,1.2975333539854068,108.70484333
190,1.241569654550471,,0.0,1.241569654550471,102.38844244
195,1.1992443004041906,,0.0,1.1992443004041906,95.636322673
200,1.1695908182851584,,0.0,1.1695908182851584,89.261435035
205,1.1498627289791186,,0.0,1.1498627289791186,83.587904951
210,1.1377257376085095,,0.0,1.1377257376085095,78.797877152
215,1.1315465561524343,,0.0,1.1315465561524343,74.53467009
220,1.1300766798484854,,0.0,1.1300766798484854,70.13349125
225,1.1322636193088609,,0.0,1.1322636193088609,65.76362731
230,1.1371649816467668,,0.0,1.1371649816467668,61.709131902
235,1.1438342643941137,,0.0,1.1438342643941137,58.355814312
240,1.1513761379634642,,0.0,1.1513761379634642,55.66781338
245,1.1592374521096815,,0.0,1.1592374521096815,53.172861816
250,1.1670511009137892,,0.0,1.1670511009137892,50.729883761
255,1.1745841865286626,,0.0,1.1745841865286626,48.393783086
260,1.1816622117197986,,0.0,1.1816622117197986,46.189340671
265,1.188135401872449,,0.0,1.188135401872449,44.239911292
270,1.194013981885406,,0.0,1.194013981885406,42.840550985
275,1.1993266814333567,,0.0,1.1993266814333567,41.863870612
280,1.2040984945193,,0.0,1.2040984945193,41.149668519
285,1.2083375271295982,,0.0,1.2083375271295982,40.48563194
290,1.2120396823189696,,0.0,1.2120396823189696,39.82203643
295,1.2152025007901959,,0.0,1.2152025007901959,39.318136211
300,1.217839876338069,,0.0,1.217839876338069,38.936816111
305,1.2199912143575713,,0.0,1.2199912143575713,38.577452195
310,1.2217226474011023,,0.0,1.2217226474011023,38.221840674
315,1.223121365956821,,0.0,1.223121365956821,37.892946613
320,1.2242857122239832,,0.0,1.2242857122239832,37.593259835
325,1.2253137217473387,,0.0,1.2253137217473387,37.289938952
330,1.2262920484124678,,0.0,1.2262920484124678,36.981758428
335,1.2272860766443576,,0.0,1.2272860766443576,36.711303648
340,1.2283324562964257,,0.0,1.2283324562964257,36.499629143
345,1.229435230071548,,0.0,1.229435230071548,36.318462466
350,1.2305666517810663,,0.0,1.2305666517810663,36.147988489
355,1.2316732963202297,,0.0,1.2316732963202297,35.964019629
360,1.232686677618958,,0.0,1.232686677618958,35.784335456
365,1.2335362168228692,,0.0,1.2335362168228692,35.594294634
370,1.2341618555358416,,0.0,1.2341618555358416,35.403974251
375,1.2345238458207355,,0.0,1.2345238458207355,35.205208814
380,1.2346081100612758,,0.0,1.2346081100612758,35.00175097
385,1.234426760956317,,0.0,1.234426760956317,34.828227532
390,1.2340144824830248,,0.0,1.2340144824830248,34.685596667
395,1.2334221874393085,,0.0,1.2334221874393085,34.581781624
400,1.2327095768857501,,0.0,1.2327095768857501,34.5163726
405,1.2319379709365328,,0.0,1.2319379709365328,34.441045808
410,1.2311642131664564,,0.0,1.2311642131664564,34.333350432
415,1.2304358055397813,,0.0,1.2304358055397813,34.192892404
420,1.2297870220309493,,0.0,1.2297870220309493,34.020072031
425,1.2292358575577946,,0.0,1.2292358575577946,33.866779396
430,1.2287821344627439,,0.0,1.2287821344627439,33.736531814
435,1.228407394781372,,0.0,1.228407394781372,33.617130032
440,1.2280771059632272,,0.0,1.2280771059632272,33.62327942
445,1.2277452634974109,,0.0,1.2277452634974109,33.558404164
450,1.2273608081931595,,0.0,1.2273608081931595,33.481903137
455,1.2268747236136117,,0.0,1.2268747236136117,33.429023294
460,1.2262465278027208,,0.0,1.2262465278027208,33.365489731
465,1.2254491066807633,,0.0,1.2254491066807633,33.22999516
470,1.224471301242683,,0.0,1.224471301242683,33.083860871
475,1.2233181760990888,,0.0,1.2233181760990888,32.955981406
480,1.222009329606179,,0.0,1.222009329606179,32.870942372
485,1.2205758698516664,,0.0,1.2205758698516664,32.78489175
490,1.2190567458615125,,0.0,1.2190567458615125,32.698150526
495,1.217495028399573,,0.0,1.217495028399573,32.576341452
500,1.2159345049896644,,0.0,1.2159345049896644,32.428334528
505,1.2144166596683235,,0.0,1.2144166596683235,32.237208217
510,1.212977904738738,,0.0,1.212977904738738,32.038339021
515,1.2116469511784014,,0.0,1.2116469511784014,32.183461491
520,1.2104424357393635,,0.0,1.2104424357393635,32.29392989
525,1.2093711633093904,,0.0,1.2093711633093904,32.341781681
530,1.2084274037468512,,0.0,1.2084274037468512,32.424088296
535,1.2075935540558334,,0.0,1.2075935540558334,32.497534044
540,1.206842201926118,,0.0,1.206842201926118,32.482374973
545,1.2061393138442276,,0.0,1.2061393138442276,32.374309194
550,1.2054480450059801,,0.0,1.2054480450059801,32.214323062
555,1.204732604053598,,0.0,1.204732604053598,32.024465825
560,1.2039616755522953,,0.0,1.2039616755522953,31.763996423
565,1.2031110526303357,,0.0,1.2031110526303357,31.453019174
570,1.2021653130830408,,0.0,1.2021653130830408,31.13437702
575,1.2011185335302121,,0.0,1.2011185335302121,30.82022211
580,1.1999741526458243,,0.0,1.1999741526458243,30.536016396
585,1.198744157487707,,0.0,1.198744157487707,30.258955417
590,1.1974477874670526,,0.0,1.1974477874670526,30.005983888
595,1.1961099239585344,,0.0,1.1961099239585344,29.76442531
600,1.1947592772547668,,0.0,1.1947592772547668,29.582025255
605,1.1934264148343434,,0.0,1.1934264148343434,29.630894177
610,1.1921416405317442,,0.0,1.1921416405317442,29.7481765
615,1.1909327699823424,,0.0,1.1909327699823424,29.946916947
620,1.1898229263740705,,0.0,1.1898229263740705,30.084669788
625,1.1888285604284192,,0.0,1.1888285604284192,30.165866165
630,1.1879579339416897,,0.0,1.1879579339416897,30.179622363
635,1.1872102808426437,,0.0,1.1872102808426437,30.136469211
640,1.1865757772632994,,0.0,1.1865757772632994,30.01263787
645,1.186036341203477,,0.0,1.186036341203477,29.824419541
650,1.185567174535528,,0.0,1.185567174535528,29.598141243
655,1.185138875581638,,0.0,1.185138875581638,29.333356984
660,1.184719900123242,,0.0,1.184719900123242,29.007557796
665,1.1842791293885164,,0.0,1.1842791293885164,28.6598819
670,1.1837883099675266,,0.0,1.1837883099675266,28.308633537
675,1.1832241644033792,,0.0,1.1832241644033792,27.948483088
680,1.1825700184643706,,0.0,1.1825700184643706,27.595380577
685,1.1818168500701887,,0.0,1.1818168500701887,27.273127634
690,1.1809637227859817,,0.0,1.1809637227859817,26.979624103
695,1.180017624738853,,0.0,1.180017624738853,26.706743418
700,1.1789927777463196,,0.0,1.1789927777463196,26.450730128
705,1.1779095099372388,,0.0,1.1779095099372388,26.2964872
710,1.1767927962407336,,0.0,1.1767927962407336,26.270573297
715,1.1756705725569039,,0.0,1.1756705725569039,26.326961874
720,1.1745719233961684,,0.0,1.1745719233961684,26.409171758
725,1.1735252385963286,,0.0,1.1735252385963286,26.488161663
730,1.172556431096581,,0.0,1.172556431096581,26.566543127
735,1.1716873040836056,,0.0,1.1716873040836056,26.626400216
740,1.1709341484624143,,0.0,1.1709341484624143,26.617770551
745,1.1703066472556531,,0.0,1.1703066472556531,26.54484094
750,1.1698071556931997,,0.0,1.1698071556931997,26.416788832
755,1.1694304169874403,,0.0,1.1694304169874403,26.262555797
760,1.169163757866181,,0.0,1.169163757866181,26.07252846
765,1.1689877814303375,,0.0,1.1689877814303375,25.848569503
770,1.1688775410705272,,0.0,1.1688775410705272,25.605428016
775,1.1688041339746897,,0.0,1.1688041339746897,25.342403522
780,1.168736606735,,0.0,1.168736606735,25.052910103
785,1.1686440266612181,,0.0,1.1686440266612181,24.752314935
790,1.1684975490190102,,0.0,1.1684975490190102,24.439556045
795,1.1682723094186995,,0.0,1.1682723094186995,24.118852707
800,1.1679489896195376,,0.0,1.1679489896195376,23.811148171
805,1.1675149419980437,,0.0,1.1675149419980437,23.539877016
810,1.1669648061786781,,0.0,1.1669648061786781,23.298697049
815,1.1663006025540483,,0.0,1.1663006025540483,23.072083679
820,1.1655313377262044,,0.0,1.1655313377262044,22.853403016
825,1.1646721938840312,,0.0,1.1646721938840312,22.681927016
830,1.163743400979003,,0.0,1.163743400979003,22.588667124
835,1.162768901177181,,0.0,1.162768901177181,22.567576054
840,1.1617749119491412,,0.0,1.1617749119491412,22.568742511
845,1.1607884813865306,,0.0,1.1607884813865306,22.587474736
850,1.1598361091984999,,0.0,1.1598361091984999,22.595922678
855,1.1589424864318891,,0.0,1.1589424864318891,22.577331906
860,1.1581293887754924,,0.0,1.1581293887754924,22.545364677
865,1.1574147426935038,,0.0,1.1574147426935038,22.473012672
870,1.1568118818867912,,0.0,1.1568118818867912,22.37758146
875,1.1563290101766612,,0.0,1.1563290101766612,22.260180606
880,1.1559688845429241,,0.0,1.1559688845429241,22.125553829
885,1.1557287342397047,,0.0,1.1557287342397047,22.005718027
890,1.155600426844317,,0.0,1.155600426844317,21.875756975
895,1.1555708832938485,,0.0,1.1555708832938485,21.741103661
900,1.1556227300952897,,0.0,1.1556227300952897,21.611031363
905,1.1557351609716142,,0.0,1.1557351609716142,21.472535376
910,1.1558849658237638,,0.0,1.1558849658237638,21.30910123
915,1.1560476711224215,,0.0,1.1560476711224215,21.127727513
920,1.1561987277276453,,0.0,1.1561987277276453,20.929250455
925,1.1563146788127714,,0.0,1.1563146788127714,20.71538572
930,1.1563742399526042,,0.0,1.1563742399526042,20.491928983
935,1.156359235934952,,0.0,1.156359235934952,20.263712688
940,1.1562553471415973,,0.0,1.1562553471415973,20.03160339
945,1.1560526330354464,,0.0,1.1560526330354464,19.807858491
950,1.1557458170701307,,0.0,1.1557458170701307,19.602114637
955,1.1553343328508408,,0.0,1.1553343328508408,19.414971584
960,1.1548221466822177,,0.0,1.1548221466822177,19.255384381
965,1.154217382494449,,0.0,1.154217382494449,19.137277751
970,1.1535317849324958,,0.0,1.1535317849324958,19.045186616
975,1.1527800617354194,,0.0,1.1527800617354194,18.968903129
980,1.1519791476285945,,0.0,1.1519791476285945,18.90091545
985,1.151147432396757,,0.0,1.151147432396757,18.830569637
990,1.1503039889228068,,0.0,1.1503039889228068,18.766738847
995,1.1494678319434308,,0.0,1.1494678319434308,18.713808458
