mach,quantity,phi_fine,phi_medium,phi_coarse,r21,r32,eps21,eps32,convergence_type,observed_order,phi_extrapolated,rel_error_fine_medium,rel_error_extrapolated,gci_fine,gci_medium,asymptotic_ratio,note,limit_cycle_half_p2p_rel_fine,criterion_met_fine,limit_cycle_half_p2p_rel_medium,criterion_met_medium,limit_cycle_half_p2p_rel_coarse,criterion_met_coarse,fine_case_of_record,convergence_types_at_cycle_extremes,observed_order_at_cycle_extremes_min,observed_order_at_cycle_extremes_max,gci_fine_at_cycle_extremes_max,gci_medium_at_cycle_extremes_max,band_coarse_rel,band_coarse_at_cycle_extremes_max,discretisation_plus_cycle_rel_fine,discretisation_plus_cycle_rel_medium,discretisation_plus_cycle_rel_coarse
3.0,cd_fore,0.847213070571906,0.8461282616531345,0.8444017431768727,2.0,2.0,-0.001084808918771496,-0.001726518476261818,monotone,0.6704248284388304,0.8490469382095465,0.0012804440304954247,0.002159913139204894,0.002705735577832084,0.0043118116494385095,1.0012820856694373,,0.0014102291921027279,False,0.0003816738498314953,True,0.00024235039787245353,True,sphere_M3_fine,oscillatory/monotone/divergent,0.40089816781880583,3.972871667151956,0.010484840232951445,0.00796247190197123,0.00683883720620543,0.01625089747738466,0.004115964769934812,0.0046934854992700045,0.007081187604077883
3.0,standoff_over_max_radius,0.2150135153501354,0.21581083042421184,0.21696860799849926,2.0,2.0,0.0007973150740764323,0.001157777574287422,monotone,0.5381362673595379,0.21324991628788237,0.0037082090992189816,0.00827010435901988,0.010252838405188085,0.01483309555928927,0.9963054909129946,,,,,,,,,,,,,,,,,,
3.0,p_stag_over_p_inf,11.995203865654432,12.04470136101612,11.964859696497282,2.0,2.0,0.04949749536168824,-0.07984166451883823,oscillatory,0.6897862731559777,11.914463409905192,0.004126440527068754,0.006776675790712945,0.008413826960918002,0.013516104219534376,0.9958905170100862,eps32/eps21 < 0: oscillatory convergence. p and GCI are computed per Celik et al. but Richardson extrapolation is not reliable here.,,,,,,,,,,,,,,,,,
6.0,cd_fore,0.872212167097538,0.870898409245509,0.8689038737159874,2.0,2.0,-0.0013137578520290294,-0.001994535529521557,monotone,0.602353436132697,0.8747474436655435,0.001506236557557806,0.002898295486731145,0.0036334000253086694,0.005524516951651351,1.001508508728552,,0.001114318328686403,False,0.0004549135120671302,True,0.00014888458702827406,True,sphere_M6_fine,monotone/monotone/divergent,0.19657052366812997,2.544677220030876,0.02241573818442554,0.01961181273830537,0.008350367285826424,0.028040214084163236,0.004747718353995073,0.005979430463718481,0.008499251872854698
6.0,standoff_over_max_radius,0.14895156888596572,0.14955980200021843,0.1505660062049716,2.0,2.0,0.0006082331142527042,0.0010062042047531694,monotone,0.7262268547404459,0.14802198497873187,0.004083428719830102,0.006280039464187836,0.007801058375772565,0.012852860535716675,0.9959331778585009,,,,,,,,,,,,,,,,,,
6.0,p_stag_over_p_inf,46.851606321903624,46.74141159530168,46.277058834987656,2.0,2.0,-0.11019472660194651,-0.4643527603140214,monotone,2.0751660259428535,46.88589293018299,0.002351994632688385,0.0007312777071436364,0.0009147660819726367,0.003863847120522114,1.0023575395530635,,,,,,,,,,,,,,,,,,
