case,mach,level,refinement_factor,status,failure_reason,n_cells,h_m,solver_wall_time_s,total_wall_time_s,max_non_orthogonality_deg,max_skewness,max_aspect_ratio,attempt,sizing_radius_m,upstream_axis_x_m,standoff_margin,asymptote_margin_deg,verdict,reasons,shock_clearance_ok,outer_outlet_mach_deficit_rel,cd_total,cd_fore,cd_aft,mesh_extent,outlet_min_mach,cd_total_last_iteration,standoff_m,standoff_over_max_radius,upstream_clearance_fraction,shock_thickness_m,shock_thickness_cells,stagnation_line_cell_size_at_shock_m,p_stag_wall_face_pa,p_stag_line_extrapolated_pa,p_max_on_body_pa,p_stag_over_p_inf,final_mean_abs_drho_dtau,initial_mean_abs_drho_dtau,n_iterations,n_iterations_planned,n_extensions,startup_first_order_iterations,cd_total_converged,cd_total_peak_to_peak_rel,cd_total_drift_rel,cd_fore_converged,cd_fore_peak_to_peak_rel,cd_fore_drift_rel
capsuledemo_M6_x2,6.0,x2,2,SOLVER_FAILED,rhoCentralFoam returned -4,12288,0.0035376884285297856,109.78370033299143,112.84099616800086,54.74728135,1.279751265,4.538542246,0,0.6000000000000001,-0.1877603070838141,2.0,6.0,SOLVER_FAILED,rhoCentralFoam returned -4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capsuledemo_M6_x2_a1,6.0,x2,2,OK,,12288,0.005535355724571462,1046.700447167008,1063.8876353350206,54.59889652,0.8341802688,2.922790899,1,0.9999999999999999,-0.3129338451396901,2.0,6.0,USABLE,,True,-2.6581559176008795e-10,1.3967368314388058,1.3967368314388058,,forebody,1.5245353880111578,1.396729246216655,0.10147764739153187,0.16912941231921974,0.6757217253179073,0.00488555124762062,1.648175097674688,0.002964218579999997,46631.08044,46629.29839874452,46662.15503,46.62929839874452,0.99659732184,25.418720412,30000.0,20000.0,1.0,3000.0,True,0.0004445905191605354,9.627147661543934e-05,True,0.0004445905191605354,9.627147661543934e-05
