case,mach,level,refinement_factor,status,failure_reason,n_cells,h_m,solver_wall_time_s,total_wall_time_s,max_non_orthogonality_deg,max_skewness,max_aspect_ratio,cd_total,cd_fore,cd_aft,mesh_extent,outlet_min_mach,cd_total_last_iteration,standoff_m,standoff_over_max_radius,upstream_clearance_fraction,shock_thickness_m,shock_thickness_cells,stagnation_line_cell_size_at_shock_m,p_stag_wall_face_pa,p_stag_line_extrapolated_pa,p_max_on_body_pa,p_stag_over_p_inf,final_mean_abs_drho_dtau,initial_mean_abs_drho_dtau,n_iterations,n_iterations_planned,n_extensions,restart_source_case,restart_source_iteration,max_co,restart_blocks_run,cd_total_converged,cd_total_peak_to_peak_rel,cd_total_drift_rel,cd_fore_converged,cd_fore_peak_to_peak_rel,cd_fore_drift_rel,source_case
sphere_M3_fine_Co0p1,3.0,fine,4,OK,,49152,0.0024439851487798544,815.7269079999969,821.3648199579911,39.41857824,0.9281123365,4.887972233,0.8469180989657618,0.8469180989657618,,forebody,1.9269193948650083,0.8468437412506152,0.10750804443588714,0.21501608887177429,0.4754837939502735,0.0019645498995134736,1.5457632249203157,0.0012709255000000058,12076.02763,12078.246649920731,12076.02763,12.07824664992073,2.3780507535,16.18785986,110000,40000,0,sphere_M3_fine,100000,0.1,2,True,0.0003265354110450587,1.593890273361108e-06,True,0.0003265354110450587,1.593890273361108e-06,sphere_M3_fine
sphere_M3_fine_Co0p05,3.0,fine,4,OK,,49152,0.0024439851487798544,815.2805254169944,821.1097952919808,39.41857824,0.9281123365,4.887972233,0.846920791930521,0.846920791930521,,forebody,1.9263246392573021,0.8468831765350907,0.1075046492792496,0.2150092985584992,0.47550035842866034,0.0019737612309725233,1.5530109601015278,0.0012709255000000058,12031.57861,12031.32066558687,12039.75957,12.03132066558687,1.1973338248,16.315305618,110000,40000,0,sphere_M3_fine,100000,0.05,2,True,0.00010718634207269039,9.328556292107468e-06,True,0.00010718634207269039,9.328556292107468e-06,sphere_M3_fine
sphere_M6_fine_Co0p1,6.0,fine,4,OK,,49152,0.0020309318226349265,815.6772551250033,821.2890485830139,35.77604966,0.9551029376,6.195434697,0.8719855307429789,0.8719855307429789,,forebody,2.329146813002979,0.8718314331286775,0.0744795044485919,0.1489590088971838,0.5239920155306621,0.0014376689029287487,1.570418790310233,0.0009154684800000007,46615.00887,46610.49501269626,46745.86895,46.610495012696255,11.813955269,69.794344842,110000,40000,0,sphere_M6_fine,100000,0.1,2,True,0.0007672609152564633,1.5188178452181947e-05,True,0.0007672609152564633,1.5188178452181947e-05,sphere_M6_fine
sphere_M6_fine_Co0p05,6.0,fine,4,OK,,49152,0.0020309318226349265,815.5696238330129,821.2987917910214,35.77604966,0.9551029376,6.195434697,0.8719794117807054,0.8719794117807054,,forebody,2.327184744349386,0.8719077767172929,0.0744791588499171,0.1489583176998342,0.5239942242957425,0.0014489850157711343,1.5827797979141054,0.0009154684800000007,46695.56389,46695.55369152652,46760.98244,46.69555369152652,7.218051435,70.330750874,110000,40000,0,sphere_M6_fine,100000,0.05,2,True,0.00037760529028129264,3.4337619889867695e-06,True,0.00037760529028129264,3.4337619889867695e-06,sphere_M6_fine
