point_id,case,mach,cd_fore_last_window,cd_fore_previous_window,rel_difference
dp000,dp000_coarse_a0,3.0,0.3894280282504245,0.3894005496671339,7.056139080194147e-05
dp001,dp001_coarse_Co0p05,20.0,0.352517295176836,0.35253499515348435,5.021023617997651e-05
dp002,dp002_coarse_a0,3.0,0.38838634165794717,0.3883841042741021,5.76071711361401e-06
dp003,dp003_coarse_a2,20.0,0.35179980449360293,0.3517973169541931,7.070894804578602e-06
dp004,dp004_coarse_a0,3.0,1.4473346419713398,1.447974925339679,0.0004423879245142055
dp005,dp005_coarse_a0,20.0,1.5514850858114764,1.5493837677669284,0.0013543913916832034
dp006,dp006_coarse_a0,3.0,1.2749384576119163,1.2777857146653866,0.00223325058277991
dp007,dp007_coarse_a0,20.0,1.374933298700589,1.3748637848215828,5.05580009385232e-05
dp008,dp008_coarse_a0,3.0,1.4499198863289957,1.451361121965615,0.000994010531346232
dp009,dp009_coarse_a0,20.0,1.5467154962283463,1.5464221353958407,0.0001896669641061251
dp010,dp010_coarse_a0,3.0,1.3268807201597008,1.3266170592823272,0.00019870729400746993
dp012,dp012_coarse_a0,3.0,1.235436648328965,1.2353585803728346,6.319057819427221e-05
dp013,dp013_coarse_a0,20.0,1.3174850991700935,1.3175067196081245,1.641038524429568e-05
dp014,dp014_coarse_a0,3.0,1.2753171741224045,1.2752736817586445,3.4103174208352695e-05
dp015,dp015_coarse_c0,20.0,1.3633336448045663,1.363322814483315,7.943999102969829e-06
dp016,dp016_coarse_a0,3.0,0.8679722534381631,0.8685751885689212,0.0006946479318547802
dp017,dp017_coarse_a0,20.0,0.8899269554240118,0.8903575430955768,0.00048384608303032205
dp018,dp018_coarse_a0,3.0,0.8563009903960078,0.8563763266374105,8.797869236121845e-05
dp019,dp019_coarse_a0,20.0,0.8816545072818195,0.881812814289096,0.00017955673789333762
dp020,dp020_coarse_a0,3.0,0.8550123870827312,0.8551133790528854,0.00011811755207291219
dp021,dp021_coarse_a0,20.0,0.8808012908390925,0.8809584957759193,0.00017847945780942706
dp022,dp022_coarse_a0,12.85410397448922,1.5053870249876637,1.5058392756618288,0.000300421530582015
dp023,dp023_coarse_a0,9.462523078153232,1.1429408344768877,1.143598642048557,0.0005755394783584892
dp024,dp024_coarse_a0,5.144832881715895,0.8680468952289055,0.8681298961515859,9.561801687964482e-05
dp025,dp025_coarse_a0,4.813687125797088,0.9301443010253879,0.9304052129090604,0.00028050688843104285
dp026,dp026_coarse_a0,11.334642525413372,1.1992380193587555,1.199300654244236,5.222890241080629e-05
dp027,dp027_coarse_a0,6.137030953140419,1.3468621298155157,1.3474478910355459,0.00043490807786719226
dp028,dp028_coarse_a0,15.403960369410036,1.2590192342761883,1.2591872232039514,0.0001334284045784399
dp029,dp029_coarse_a0,3.354095120584024,1.296622881062766,1.2971169618451892,0.00038105203111811546
dp030,dp030_coarse_a0,7.956512824923746,0.7128108943641962,0.7131519514296446,0.0004784678070228066
dp031,dp031_coarse_a0,15.854455586377377,1.4260250146465199,1.425972083765663,3.711777865965653e-05
dp032,dp032_coarse_Co0p1,18.379044046919688,0.8889231295328355,0.888926965353534,4.315132063818174e-06
dp033,dp033_coarse_a0,10.712954107839389,1.471482635855754,1.4714461419793055,2.4800752356365955e-05
