shape,mach,cd_fore,cd_base_low,cd_base_nominal,cd_base_high,base_fraction_low,base_fraction_nominal,base_fraction_high,extrapolated
baseline,3.0,0.8679730938116318,0.0,0.07936507936507936,0.15873015873015872,0.0,0.08377692529684966,0.15460178813809478,False
baseline,4.0,0.8749323271868379,0.0,0.044642857142857144,0.08928571428571429,0.0,0.04854726171781008,0.09259909112399234,False
baseline,6.0,0.8823614416822596,0.0,0.01984126984126984,0.03968253968253968,0.0,0.02199203082394236,0.04303757790794537,False
baseline,8.0,0.8858626035964182,-0.022321428571428572,0.005580357142857143,0.022321428571428572,-0.025848713665312627,0.006259914979001396,0.024578089661130727,False
baseline,10.0,0.8876754600306891,-0.02857142857142857,0.0,0.014285714285714285,-0.033257239548623224,0.0,0.015838502468292423,False
baseline,15.0,0.8894486415091538,-0.012698412698412698,0.0,0.006349206349206349,-0.014483500866190055,0.0,0.007087766915700672,False
baseline,20.0,0.8899271811359407,-0.007142857142857143,0.0,0.0035714285714285713,-0.008091282263087744,0.0,0.003997128291669367,False
m4_front,3.0,1.274357604600144,0.0,0.07936507936507936,0.15873015873015872,0.0,0.05862728039143816,0.11076094764865708,False
m4_front,4.0,1.2967970107557079,0.0,0.044642857142857144,0.08928571428571429,0.0,0.033279804940338095,0.0644158625402723,False
m4_front,6.0,1.3232046982387304,0.0,0.01984126984126984,0.03968253968253968,0.0,0.014773336365868878,0.029116524521181273,False
m4_front,8.0,1.3380114347272587,-0.022321428571428572,0.005580357142857143,0.022321428571428572,-0.016965568231871807,0.004153312915889406,0.01640879903268754,False
m4_front,10.0,1.3471926635509979,-0.02857142857142857,0.0,0.014285714285714285,-0.021667653920248945,0.0,0.010492795565665335,False
m4_front,15.0,1.3587729749467579,-0.012698412698412698,0.0,0.006349206349206349,-0.00943366218673843,0.0,0.004651016909840845,False
m4_front,20.0,1.3631501282752034,-0.007142857142857143,0.0,0.0035714285714285713,-0.005267565517471329,0.0,0.0026131354653311746,False
cone_60,3.0,1.3697854609363467,0.0,0.07936507936507936,0.15873015873015872,0.0,0.0547666216572443,0.10384595138438349,False
cone_60,4.0,1.394948026191399,0.0,0.044642857142857144,0.08928571428571429,0.0,0.03101079456648073,0.06015610065366997,False
cone_60,6.0,1.4219417933847205,0.0,0.01984126984126984,0.03968253968253968,0.0,0.013761619447016522,0.0271496162076508,False
cone_60,8.0,1.4343230370631066,-0.022321428571428572,0.005580357142857143,0.022321428571428572,-0.01580835916700737,0.0038755080134625537,0.015323868725718899,False
cone_60,10.0,1.4398726559374042,-0.02857142857142857,0.0,0.014285714285714285,-0.02024474153172368,0.0,0.009824042950371602,False
cone_60,15.0,1.4411289905216607,-0.012698412698412698,0.0,0.006349206349206349,-0.008889765379962332,0.0,0.004386391700359944,False
cone_60,20.0,1.4356685537988463,-0.007142857142857143,0.0,0.0035714285714285713,-0.0050001600668281515,0.0,0.0024814684244296834,False
cone_40,3.0,0.8766857754243718,0.0,0.07936507936507936,0.15873015873015872,0.0,0.08301344951211592,0.15330086537616394,False
cone_40,4.0,0.8733406140105548,0.0,0.044642857142857144,0.08928571428571429,0.0,0.04863143895909701,0.09275220473528818,False
cone_40,6.0,0.8663659314610141,0.0,0.01984126984126984,0.03968253968253968,0.0,0.022388973833786317,0.0437973695076766,False
cone_40,8.0,0.8601031976531286,-0.022321428571428572,0.005580357142857143,0.022321428571428572,-0.026643488071953735,0.006446185920872965,0.025295563958737787,False
cone_40,10.0,0.8546518899723226,-0.02857142857142857,0.0,0.014285714285714285,-0.034586738104150555,0.0,0.01644043739816334,False
cone_40,15.0,0.8437377025623536,-0.012698412698412698,0.0,0.006349206349206349,-0.015280159257562542,0.0,0.007468890865918391,False
cone_40,20.0,0.8354145294128064,-0.007142857142857143,0.0,0.0035714285714285713,-0.00862380953254327,0.0,0.00425683950659837,False
