case,attempt,sizing_radius_m,standoff_margin,asymptote_margin_deg,status,n_cells,h_m,solver_wall_time_s,total_wall_time_s,verdict,shock_clearance_ok,outer_outlet_min_mach,outer_outlet_n_faces,outer_outlet_mach_deficit_rel,p_stag_rel_error_vs_rayleigh_pitot,reasons,cd_total,cd_fore,cd_aft,mesh_extent,outlet_min_mach,cd_total_last_iteration,standoff_m,standoff_over_max_radius,upstream_clearance_fraction,shock_thickness_m,shock_thickness_cells,stagnation_line_cell_size_at_shock_m,p_stag_wall_face_pa,p_stag_line_extrapolated_pa,p_max_on_body_pa,p_stag_over_p_inf,final_mean_abs_drho_dtau,initial_mean_abs_drho_dtau,n_iterations,n_iterations_planned,n_extensions,startup_first_order_iterations,cd_fore_peak_to_peak_rel,cd_fore_drift_rel,cd_fore_converged,max_non_orthogonality_deg,max_skewness,patience_pass,restart_source_case,restart_source_iteration,max_co,restart_blocks_run,courant_pass,restart_consecutive_passes_required,restart_passed_in_a_row
sc1p2_coarse_a0,0,0.6,2.0,24.880808791103146,OK,3072,0.009290084108501328,362.13113899999007,401.47520699999586,USABLE,True,6.000000001594894,2.0,-2.6581559176008795e-10,-0.010711385062919465,,0.8869041670533978,0.8869041670533978,,forebody,1.9352463607791859,0.8869316047787491,0.09036802713145142,0.15061337855241905,0.5187053721044876,0.006895800054579279,1.5565943237393358,0.004430056020000003,46309.42294,46313.75002087287,46435.00341,46.31375002087287,4.6891225914,35.42871179,15000.0,10000.0,1.0,1500.0,0.0003940034723075337,2.2157907607631732e-05,True,42.74932093,1.062392017,,,,,,,,
dp000_coarse_a0,0,0.6,2.0,15.626892663754035,OK,3072,0.018464292323261543,275.0823490000039,312.00665174997994,USABLE,True,3.000000000124821,2.0,-4.160694011545729e-11,-0.0084291910226576,,0.3894280396501196,0.3894280396501196,,forebody,1.7938840957485551,0.3895019377386495,0.06618330382631298,0.11030550637718829,0.7309176907879671,0.006725684393626578,1.5565504317589067,0.004320890770000002,11948.89153,11959.300525882116,11948.89153,11.959300525882115,0.18036525218,2.96789717,10000.0,10000.0,0.0,1500.0,0.0006232099089711063,4.374997077752412e-05,True,51.50941665,0.9875025804,,,,,,,,
sc3_coarse_a0,0,1.5,2.0,24.880808791103146,OK,3072,0.02322521027125286,102.44908250001026,112.49233766699035,USABLE,True,6.000000001594894,2.0,-2.6581559176008795e-10,-0.010740379384133858,,0.8869041471454786,0.8869041471454786,,forebody,1.9352267763948074,0.88693302358191,0.22592056260081675,0.1506137084005445,0.5187043180538294,0.017235903234036398,1.556269544078852,0.011075140099999992,46308.15946,46312.392645760614,46433.8906,46.31239264576062,1.8737440397,14.171484711,15000.0,10000.0,1.0,1500.0,0.00039324053953627714,2.2120977071672585e-05,True,42.74932063,1.062392007,,,,,,,,
dp002_coarse_a0,0,0.6,2.0,15.626892663754035,OK,3072,0.01864027922275626,276.7504234579974,312.81535870603693,USABLE,True,3.000000000124821,2.0,-4.160694011545729e-11,-0.008608012736028181,,0.38838640386804985,0.38838640386804985,,forebody,1.8956114137692694,0.3883787731201386,0.06616964281811054,0.11028273803018424,0.7309732325246401,0.006730580243174106,1.5576833848758127,0.00432089108,11946.7061,11957.143763509332,11946.7061,11.957143763509333,0.17718156597,2.894149254,10000.0,10000.0,0.0,1500.0,0.0003304137210357296,3.093462145062271e-06,True,51.62825285,0.9971405003,,,,,,,,
dp004_coarse_a0,0,1.2,2.0,6.0,OK,3072,0.014822091797463686,306.6288735419803,338.6340197919926,USABLE,True,3.000000000124821,2.0,-4.160694011545729e-11,0.005867179772460318,,1.4473356343396022,1.4473356343396022,,forebody,1.2999162757471183,1.4472762212659946,0.19819528895509184,0.33032548159181974,0.5970974328590475,0.01650353995960005,1.5534856231835843,0.010623554999999979,12128.54732,12131.72854939825,12154.08853,12.13172854939825,0.19415274762,5.8791728166,15000.0,10000.0,1.0,1500.0,0.0005144206612572394,4.8815161693715166e-05,True,67.30335923,1.657142083,,,,,,,,
dp003_coarse_a0,0,0.6,2.0,24.342995834370537,SOLVER_FAILED,3072,0.015721278310321208,43.06969087499601,71.10110479299328,SOLVER_FAILED,,,,,,rhoCentralFoam returned -4,,,,,,,,,,,,,,,,,,,,,,,,,,51.66791355,0.930994606,,,,,,,,
dp003_coarse_a1,1,0.6,3.2,28.342995834370537,SOLVER_FAILED,3072,0.017595332049762717,67.96949962500366,99.01024300100107,SOLVER_FAILED,,,,,,rhoCentralFoam returned -4,,,,,,,,,,,,,,,,,,,,,,,,,,51.6590382,0.9333173093,,,,,,,,
dp003_coarse_a2,2,0.6,5.120000000000001,32.34299583437054,OK,3072,0.020451852945703806,141.97376820800127,180.00094608399377,USABLE,True,20.00000000083214,2.0,-4.1607162160062217e-11,-0.013833480052428349,,0.35180009344534763,0.35180009344534763,,forebody,2.523211368410579,0.35172613759010013,0.0408076764777118,0.06801279412951967,0.9078560483434907,0.008760823811296448,1.6042741145119124,0.0054609269899999965,506982.4189,508353.0866630015,506982.4189,508.35308666300153,1.7215559879,16.489838983,10000.0,10000.0,0.0,1500.0,0.0007356229866837379,1.2179320450720172e-05,True,51.64029334,0.9333248366,,,,,,,,
dp005_coarse_a0,0,1.2,2.0,6.0,OK,3072,0.011333668106883927,204.56877029199677,240.34308204399713,USABLE,True,20.00000000083214,2.0,-4.1607162160062217e-11,-0.007586859382052058,,1.5514834692305306,1.5514834692305306,,forebody,1.4681271658729353,1.5509558417778377,0.10857579359460437,0.1809596559910073,0.6861891553091443,0.010231987714352173,1.5869636847852313,0.006447524800000007,511527.0957,511573.1198265361,512721.751,511.57311982653613,2.5573133169,82.768192981,10000.0,10000.0,0.0,1500.0,0.0006968080469338186,9.65993404331154e-05,True,67.43657606,1.389344046,,,,,,,,
dp007_coarse_a0,0,1.2,2.0,6.0,OK,3072,0.011999330928533503,124.92168675000721,138.17478591602412,USABLE,True,20.00000000083214,2.0,-4.1607162160062217e-11,-0.008782632505969779,,1.3749329519556486,1.3749329519556486,,forebody,1.7059797638814116,1.374873923465512,0.10184238716727255,0.16973731194545424,0.7056503619801019,0.009578090657733476,1.5300143153118937,0.006260131399999994,510847.3928,510956.7178840685,512098.801,510.9567178840685,3.904973318,67.967779253,15000.0,10000.0,1.0,1500.0,0.0002977664818204245,9.291590840874684e-05,True,57.061521,0.8459456495,,,,,,,,
