point_id,mach,bluntness_ratio,cone_half_angle_deg,shoulder_ratio,cd_fore,cd_fore_peak_to_peak_rel,cd_fore_drift_rel
dp011,20.0,0.8,52.520127555148015,0.02,1.3913432119808895,0.0005337286144733,0.0002743139953701
dp061,20.0,1.15,68.10731219459836,0.1,1.3703523250390677,0.0009350141136131,0.0006098092595876
dp067,27.0,0.8,52.520127555148015,0.02,1.3945050394182863,0.0081276408344319,0.0046383026759717
dp068,27.0,0.8,55.65009542095352,0.1,1.3187424388377942,0.0009033349781733,0.0003651930500323
dp075,27.0,1.15,68.10731219459836,0.1,1.3718571118415352,0.001806403042012,0.0006419811855758
