point_id,role,split,mach,bluntness_ratio,cone_half_angle_deg,shoulder_ratio,diameter_m,label,mesh_level,attempts,verdict,reasons,case,attempt,sizing_radius_m,standoff_margin,asymptote_margin_deg,status,n_cells,h_m,solver_wall_time_s,total_wall_time_s,shock_clearance_ok,outer_outlet_min_mach,outer_outlet_n_faces,outer_outlet_mach_deficit_rel,p_stag_rel_error_vs_rayleigh_pitot,cd_total,cd_fore,cd_aft,mesh_extent,outlet_min_mach,cd_total_last_iteration,standoff_m,standoff_over_max_radius,upstream_clearance_fraction,shock_thickness_m,shock_thickness_cells,stagnation_line_cell_size_at_shock_m,p_stag_wall_face_pa,p_stag_line_extrapolated_pa,p_max_on_body_pa,p_stag_over_p_inf,final_mean_abs_drho_dtau,initial_mean_abs_drho_dtau,n_iterations,n_iterations_planned,n_extensions,startup_first_order_iterations,cd_fore_peak_to_peak_rel,cd_fore_drift_rel,cd_fore_converged,max_non_orthogonality_deg,max_skewness,nose_radius_m,shoulder_radius_m,gate_G4_status_at_build
dp003,anchor,train,20.0,0.25,20.0,0.1,1.2,vertex1,medium,1,REJECTED,"force criterion not met (p2p 0.0012061486752002004, drift 1.8060055410283783e-05) after 3 extensions",dp003_medium_a0,0,0.6,2.0,24.342995834370537,OK,12288,0.007860639155160604,2774.054495624994,2795.4055430009903,True,20.00000000083214,3,-4.1607162160062217e-11,-0.008118266833674226,0.3549274211113145,0.3549274211113145,,forebody,2.4910551133054986,0.35495296263553033,0.03957072771871473,0.06595121286452454,0.7712616582512583,0.002297822711327946,1.6463969590120227,0.0013956674900000021,511207.9664,511299.18777465285,512670.1093,511.29918777465286,9.6979734501,30.787431019,50000,20000,3,3000,0.0012061486752002004,1.8060055410283783e-05,False,52.15364603,0.9425355617,0.3,0.12,IN_PROGRESS
dp013,anchor,train,20.0,0.8,55.65009542095352,0.1,1.2,boundary1,medium,1,USABLE,,dp013_medium_a0,0,0.96,2.0,6.0,OK,12288,0.00479164886200834,1177.5168671260035,1206.2061980429862,True,20.00000000083214,3,-4.1607162160062217e-11,0.0008934148654868856,1.317339134511802,1.317339134511802,,forebody,1.7770495904462176,1.3172619450746748,0.12517980707438334,0.2086330117906389,0.5477493222047845,0.005051571400412652,1.593774200018116,0.0031695652999999824,515829.8081,515944.56572566717,516234.4583,515.9445657256672,14.951711296,123.29091104,20000,20000,0,3000,0.0009664624156977349,0.00010539918434490844,True,45.27460654,0.9733913221,0.96,0.12,IN_PROGRESS
dp015,anchor,train,20.0,1.2,69.17631373650207,0.1,1.2,boundary2,medium,1,USABLE,,dp015_medium_a0,0,1.44,2.0,6.0,OK,12288,0.006408003109280345,2196.133413000003,2225.7243222929974,True,20.00000000083214,3,-4.1607162160062217e-11,0.009819319144956928,1.364670550636437,1.364670550636437,,forebody,1.7033530935670145,1.3648552813628811,0.1683632478911114,0.28060541315185233,0.5944905452186108,0.007234118368026454,1.6367486477194153,0.004419810199999985,520197.2897,520545.7267871565,520197.2897,520.5457267871565,6.7158014494,56.026815151,40000,20000,2,3000,0.0008254453219384937,2.3078375302256522e-05,True,56.83094257,0.9248959474,1.44,0.12,IN_PROGRESS
dp017,anchor,train,20.0,0.5,25.0,0.1,1.2,baseline,medium,1,USABLE,,dp017_medium_a0,0,0.6,2.0,29.88614007722539,OK,12288,0.004352273741773049,1758.4915898340114,1779.1320948349749,True,20.00000000083214,3,-4.1607162160062217e-11,6.14534856724358e-05,0.8921106771101017,0.8921106771101017,,forebody,2.0261556457222705,0.8921465055121758,0.07868291438956383,0.13113819064927307,0.5451739101347106,0.003049241678404438,1.5392602897361125,0.0019809785900000015,515463.8783,515515.7029252595,516219.8979,515.5157029252595,52.923259475,139.30617315,30000,20000,1,3000,0.0008282011193085005,2.086935031699956e-06,True,42.1270194,1.104410823,0.6,0.12,IN_PROGRESS
dp019,anchor,train,20.0,0.5,20.0,0.02,1.2,blunt_lo_angle_a,medium,1,REJECTED,"force criterion not met (p2p 0.0011847165612865014, drift 4.226574656315423e-06) after 3 extensions",dp019_medium_a0,0,0.6,2.0,24.342995834370537,OK,12288,0.004295187998571774,2265.565059331988,2313.603754917989,True,20.00000000083214,3,-4.1607162160062217e-11,-0.00902944856692156,0.8838856312779237,0.8838856312779237,,forebody,2.043572859679879,0.8841361097659876,0.07866812009191687,0.13111353348652813,0.5452594284788553,0.0030692845512213796,1.5493779522480344,0.0019809785899999877,510863.9937,510829.4881476245,512050.2102,510.8294881476245,61.802197386,145.6074303,50000,20000,3,3000,0.0011847165612865014,4.226574656315423e-06,False,39.90836042,1.055467536,0.6,0.024,IN_PROGRESS
dp027,fill,train,6.137030953140419,0.553734259493649,68.5897280741483,0.09996243707835675,1.2,draw14,medium,1,USABLE,,dp027_medium_a0,0,1.171794561482966,2.0,6.0,OK,12288,0.006113371554468868,940.4653995840054,967.1295049589826,True,6.137030953439124,3,-4.867262148877671e-11,-0.005821074603967635,1.343246971125999,1.343246971125999,,forebody,1.6441099514608255,1.3432502412436667,0.13593581541788222,0.22655969236313703,0.6278175552583458,0.005681221153658822,1.5265767864723936,0.003721542999999994,48666.81274,48671.48738663295,48719.45196,48.671487386632954,2.1491746005,19.638418985,20000,20000,0,3000,0.0003878169553097872,0.00014545807879181205,True,56.18648959,0.8556157944,0.6644811113923788,0.1199549244940281,IN_PROGRESS
dp030,fill,train,7.956512824923746,0.3682430848479271,32.141528306528926,0.0490375317633152,1.2,draw20,medium,1,USABLE,,dp030_medium_a0,0,0.6,2.0,34.37720579536831,OK,12288,0.0053960179118152434,1501.6586281260243,1530.6160072530183,True,7.956512824420305,3,6.327405266404185e-11,-0.0053465561391516925,0.715738561159569,0.715738561159569,,forebody,1.873944772509826,0.7156598007555323,0.06223532386881796,0.10372553978136327,0.6554180534034595,0.0029091439154901866,1.6515354176561288,0.0017614783699999997,81528.47264,81533.77740388367,81647.56814,81.53377740388366,8.1758168393,31.35207512,40000,20000,2,3000,0.000996689418188991,1.827735424115385e-07,True,46.13124305,1.043474404,0.4418917018175125,0.058845038115978236,IN_PROGRESS
dp040,fill,train,4.5289192398066955,0.7943319926038385,65.6479474902153,0.07085362866520882,1.2,draw42,medium,1,USABLE,,dp040_medium_a0,0,1.112958949804306,2.0,6.0,OK,12288,0.005950231159617275,745.2533197500015,768.8202651249885,True,4.528919239144358,3,1.46246348364798e-10,0.0054308026560057066,1.3662264095751926,1.3662264095751926,,forebody,1.5383886320719875,1.3661386479098236,0.16804793974448975,0.2800798995741496,0.5491983703437837,0.006844464535150474,1.6269885810578537,0.004206830100000003,27013.98158,27020.737044508172,27028.2188,27.020737044508174,1.4138737461,15.804070723,20000,20000,0,3000,0.0004684433795537164,4.4891752139805984e-05,True,57.25994159,0.9399142417,0.9531983911246061,0.08502435439825058,IN_PROGRESS
