iteration,cd_fore,cd_aft,cd_viscous,cd_total,mean_abs_drho_dtau_kg_m3_s
5,0.048409090343618406,,0.0,0.048409090343618406,14.171484711
10,0.11448194738994004,,0.0,0.11448194738994004,14.149368565
15,0.20399780779306353,,0.0,0.20399780779306353,14.119328539
20,0.32388670096365635,,0.0,0.32388670096365635,14.081982147
25,0.4818624187524326,,0.0,0.4818624187524326,14.038163998
30,0.6854388725866769,,0.0,0.6854388725866769,13.988882538
35,0.9400552728565872,,0.0,0.9400552728565872,13.935245534
40,1.2462984038090832,,0.0,1.2462984038090832,13.878392764
45,1.5939738934418366,,0.0,1.5939738934418366,13.819432778
50,1.9275294937500649,,0.0,1.9275294937500649,13.759705147
55,2.163255263954646,,0.0,2.163255263954646,16.308762799
60,2.2627427749852815,,0.0,2.2627427749852815,21.931573561
65,2.247024841980594,,0.0,2.247024841980594,26.469018552
70,2.141958888553625,,0.0,2.141958888553625,30.069085899
75,1.9859384600894403,,0.0,1.9859384600894403,31.724224382
80,1.8150271921589862,,0.0,1.8150271921589862,31.578680795
85,1.6479328051553646,,0.0,1.6479328051553646,30.36701783
90,1.496247060494979,,0.0,1.496247060494979,29.109620534
95,1.3754563683352243,,0.0,1.3754563683352243,27.900381854
100,1.2833178263936293,,0.0,1.2833178263936293,26.414762054
105,1.2143481589670295,,0.0,1.2143481589670295,24.74243539
110,1.1653922479462433,,0.0,1.1653922479462433,23.291321932
115,1.1345782057764793,,0.0,1.1345782057764793,22.079126498
120,1.1168166939169315,,0.0,1.1168166939169315,20.958740622
125,1.1082264527307175,,0.0,1.1082264527307175,19.876207653
130,1.1061229591436514,,0.0,1.1061229591436514,18.879618295
135,1.1082464187840113,,0.0,1.1082464187840113,17.995357221
140,1.1126016695697494,,0.0,1.1126016695697494,17.326659486
145,1.1179882022687673,,0.0,1.1179882022687673,16.756636867
150,1.1236969950493412,,0.0,1.1236969950493412,16.223977701
155,1.1291790330424065,,0.0,1.1291790330424065,15.715257365
160,1.1339597768381178,,0.0,1.1339597768381178,15.243067612
165,1.1377084862157683,,0.0,1.1377084862157683,14.899309838
170,1.14052676868213,,0.0,1.14052676868213,14.666390585
175,1.1426394453982567,,0.0,1.1426394453982567,14.504377074
180,1.1442550430501313,,0.0,1.1442550430501313,14.398789596
185,1.1454980793722704,,0.0,1.1454980793722704,14.317482032
190,1.1464020163933597,,0.0,1.1464020163933597,14.246929346
195,1.1469423509619332,,0.0,1.1469423509619332,14.185903297
200,1.1471268464843287,,0.0,1.1471268464843287,14.131979806
205,1.147031551295016,,0.0,1.147031551295016,14.094563184
210,1.146759754789576,,0.0,1.146759754789576,14.099683094
215,1.1464017764180208,,0.0,1.1464017764180208,14.131804764
220,1.1460004915317217,,0.0,1.1460004915317217,14.159338907
225,1.1455463838979014,,0.0,1.1455463838979014,14.172064593
230,1.1449805173598895,,0.0,1.1449805173598895,14.177178218
235,1.1442401474409076,,0.0,1.1442401474409076,14.199528871
240,1.1432999733756501,,0.0,1.1432999733756501,14.268538398
245,1.1421877807271297,,0.0,1.1421877807271297,14.36470489
250,1.1409652619124784,,0.0,1.1409652619124784,14.434123988
255,1.1396916354241826,,0.0,1.1396916354241826,14.47406425
