x_m,r_m,p_pa,cp
7.040275747e-06,0.002043343315,46833.11528,1.8187744158730157
2.601244488e-05,0.00476773652,46755.05063,1.8156766123015873
6.351973977e-05,0.007764403238,46659.48869,1.8118844718253968
0.0001201896753,0.01079969794,46665.37641,1.8121181115079363
0.0001951207353,0.01384757874,46658.04356,1.8118271253968252
0.0002892901148,0.01690082052,46601.24454,1.809573196031746
0.0004024311759,0.01995660407,46602.09745,1.8096070416666667
0.0005340331455,0.02301355081,46710.332,1.8139020634920635
0.0006847908852,0.02607085049,46742.33751,1.8151721234126983
0.000853810988,0.02912804379,46551.21545,1.8075879146825398
0.001042008178,0.03218471715,46362.89018,1.8001146896825397
0.001249030112,0.03524062882,46325.91687,1.7986474948412698
0.00147461717,0.03829556175,46332.40874,1.7989051087301586
0.001719324805,0.04134929235,46323.04403,1.798533493253968
0.001982263104,0.04440172042,46305.62214,1.7978421484126983
0.002264323915,0.04745260922,46269.59194,1.7964123785714285
0.002565025662,0.05050186555,46196.54266,1.7935135976190475
0.002884386655,0.05354933588,46094.33966,1.789457923015873
0.003222814552,0.05659485193,45996.03044,1.7855567634920635
0.003579420866,0.0596383776,45960.73088,1.7841559873015873
0.003955082921,0.06267968111,45917.20469,1.7824287575396824
0.004349180348,0.06571872134,45722.19423,1.7746902472222224
0.004762014904,0.06875532274,45569.18403,1.7686184138888887
0.005193844694,0.07178933676,45704.30024,1.7739801682539682
0.005643782198,0.07482076087,45841.61115,1.7794290138888889
0.006112693047,0.07784934709,45555.56837,1.7680781099206349
0.006599815429,0.08087510014,45069.50488,1.748789876190476
0.007105734934,0.08389779348,44823.89905,1.739043613095238
0.007630560148,0.08691729916,45034.22445,1.747389859126984
0.008173404622,0.08993364204,45257.27423,1.756241040873016
0.008735123368,0.09294655341,45197.34306,1.7538628198412698
0.009314813027,0.09595608911,44919.981,1.7428563888888888
0.009913341132,0.09896195106,44601.91165,1.7302345892857143
0.01053066768,0.1019640388,44384.98557,1.7216264115079365
0.01116590762,0.1049624027,44230.71282,1.715504476984127
0.0118199057,0.107956752,44068.01592,1.7090482507936506
0.01249176377,0.1109471678,43906.04461,1.7026208178571427
0.01318233566,0.11393333,43805.38518,1.698626396031746
