point_id,role,split,mach,bluntness_ratio,cone_half_angle_deg,shoulder_ratio,diameter_m,label,mesh_level,attempts,verdict,reasons,case,attempt,sizing_radius_m,standoff_margin,asymptote_margin_deg,status,n_cells,h_m,solver_wall_time_s,total_wall_time_s,shock_clearance_ok,outer_outlet_min_mach,outer_outlet_n_faces,outer_outlet_mach_deficit_rel,p_stag_rel_error_vs_rayleigh_pitot,cd_total,cd_fore,cd_aft,mesh_extent,outlet_min_mach,cd_total_last_iteration,standoff_m,standoff_over_max_radius,upstream_clearance_fraction,shock_thickness_m,shock_thickness_cells,stagnation_line_cell_size_at_shock_m,p_stag_wall_face_pa,p_stag_line_extrapolated_pa,p_max_on_body_pa,p_stag_over_p_inf,final_mean_abs_drho_dtau,initial_mean_abs_drho_dtau,n_iterations,n_iterations_planned,n_extensions,startup_first_order_iterations,cd_fore_peak_to_peak_rel,cd_fore_drift_rel,cd_fore_converged,max_non_orthogonality_deg,max_skewness,nose_radius_m,shoulder_radius_m,patience_pass,gate_G4_status_at_build
dp010,anchor,train,3.0,0.8,52.520127555148015,0.02,1.2,boundary0,coarse,1,USABLE,,dp010_coarse_a0,0,0.96,2.0,54.12412101043785,OK,3072,0.015656740643377583,215.9841486660007,233.90843812402454,True,3.000000000124821,2,-4.160694011545729e-11,0.0032010686942449684,1.3268807247825016,1.3268807247825016,,forebody,1.3158022322151195,1.3267502323739664,0.2060904811775967,0.34348413529599453,0.47630955074957515,0.014637784174410529,1.4861652981327846,0.009849364799999982,12097.67665,12099.57267779424,12116.28351,12.09957267779424,0.086369832323,3.6734520519,20000,10000,2,1500,0.00021101096817955698,9.643964736609632e-05,True,73.31431753,1.288357203,0.96,0.024,,IN_PROGRESS
dp011,anchor,train,20.0,0.8,52.520127555148015,0.02,1.2,boundary0,coarse,2,REJECTED,"force criterion not met (p2p 0.0023192691001481802, drift 0.0014373256961713488) after 9 extensions",dp011_coarse_c0,1,0.96,2.0,62.67946015372641,OK,3072,0.010759249140860721,1025.6982476680132,1076.3254588760174,True,20.00000000083214,2,-4.1607162160062217e-11,-0.01554648227021449,1.391534456781772,1.391534456781772,,forebody,1.5214874723341014,1.3910092117287778,0.126788923212594,0.21131487202099,0.5419358936561642,0.009607784712868231,1.5152099885341432,0.006340893200000003,507443.0816,507470.06138556823,508295.6911,507.4700613855682,2.8041703721,77.929337866,55000,10000,9,1500,0.0023192691001481802,0.0014373256961713488,False,,,0.96,0.024,True,IN_PROGRESS
dp012,anchor,train,3.0,0.8,55.65009542095352,0.1,1.2,boundary1,coarse,1,USABLE,,dp012_coarse_a0,0,0.96,2.0,6.0,OK,3072,0.012618635118607857,217.89027987601003,234.744230833021,True,3.000000000124821,2,-4.160694011545729e-11,0.0005026790311273288,1.23543602909752,1.23543602909752,,forebody,1.4705994238799553,1.2354228865443557,0.2027827523199807,0.3379712538666345,0.48471472308720864,0.015500837749961666,1.6209018352564961,0.009563094699999997,12065.7273,12067.027495317116,12084.25963,12.067027495317115,0.28114376282,8.8554601012,20000,10000,2,1500,0.00035382004563892376,4.4673701528123265e-06,True,47.05884467,0.8326391039,0.96,0.12,,IN_PROGRESS
dp013,anchor,train,20.0,0.8,55.65009542095352,0.1,1.2,boundary1,coarse,1,USABLE,,dp013_coarse_a0,0,0.96,2.0,6.0,OK,3072,0.00958329772401668,158.9821657499997,177.0601221260149,True,20.00000000083214,2,-4.1607162160062217e-11,-0.005789802408268763,1.3174862221571244,1.3174862221571244,,forebody,1.7619290290681429,1.3170683646672916,0.12630843224099278,0.21051405373498797,0.5436718155485187,0.010246744111774772,1.615977827696658,0.006340894,512475.2462,512499.47398788057,513254.5973,512.4994739878806,4.9478160515,123.26681908,15000,10000,1,1500,0.0009055890336354082,7.887464118105832e-06,True,44.8277307,0.9621206942,0.96,0.12,,IN_PROGRESS
dp014,anchor,train,3.0,1.2,69.17631373650207,0.1,1.2,boundary2,coarse,1,USABLE,,dp014_coarse_a0,0,1.44,2.0,6.0,OK,3072,0.01700040346337199,254.65981141700468,270.73479537801177,True,3.000000000124821,2,-4.160694011545729e-11,0.009536707627098906,1.2753172552637835,1.2753172552637835,,forebody,1.4529747646456912,1.2754151254063737,0.2530286569327234,0.4217144282212057,0.5713575569164971,0.01946778699120727,1.4827100198521592,0.013129868100000025,12173.45323,12175.986595323362,12188.84677,12.175986595323362,0.11051656824,3.8444170376,20000,10000,2,1500,0.00015833004497598698,5.433875620856348e-06,True,56.29487459,1.089276087,1.44,0.12,,IN_PROGRESS
dp015,anchor,train,20.0,1.2,69.17631373650207,0.1,1.2,boundary2,coarse,2,USABLE,,dp015_coarse_c0,1,1.44,2.0,6.0,OK,3072,0.01281600621856069,663.0100247919763,715.4213935409789,True,20.00000000083214,2,-4.1607162160062217e-11,-0.007261842808587882,1.3633331105090767,1.3633331105090767,,forebody,1.7137822475903477,1.362873305257763,0.17047988423778787,0.28413314039631316,0.5893925439525247,0.0125216489956739,1.3964947084642894,0.008966485100000005,511690.9297,511740.66067789856,512354.0352,511.7406606778986,3.1904062252,56.016938469,35000,10000,5,1500,0.0007699509706159403,6.659614180897018e-07,True,,,1.44,0.12,True,IN_PROGRESS
dp016,anchor,train,3.0,0.5,25.0,0.1,1.2,baseline,coarse,1,USABLE,,dp016_coarse_a0,0,0.6,2.0,20.311940503518812,OK,3072,0.011202611821744524,119.24305375000404,134.84195450198604,True,3.000000000124821,2,-4.160694011545729e-11,-0.005809181561404531,0.8679730902103046,0.8679730902103046,,forebody,1.6681646175486053,0.8678247561549304,0.13001347656728413,0.2166891276121402,0.47140253688120703,0.009603536419428016,1.560065201564341,0.0061558557999999985,11989.63126,11990.900367511273,12020.0469,11.990900367511273,0.96103769783,11.02687998,10000,10000,0,1500,0.0009543186897003166,1.9079702659501073e-06,True,45.9720469,1.008058373,0.6,0.12,,IN_PROGRESS
dp017,anchor,train,20.0,0.5,25.0,0.1,1.2,baseline,coarse,1,USABLE,,dp017_coarse_a0,0,0.6,2.0,29.88614007722539,OK,3072,0.008704547483546097,118.7230951669917,134.41446299997915,True,20.00000000083214,2,-4.1607162160062217e-11,-0.009530321104259332,0.8899271755415644,0.8899271755415644,,forebody,2.0500604371707665,0.8897346521103946,0.0792543447354749,0.13209057455912482,0.5418707606278901,0.006122990460459665,1.5450159377258517,0.003963059739999997,510506.0381,510571.29635624844,512013.6263,510.5712963562484,20.942411462,139.25949375,10000,10000,0,1500,0.0006112558096904672,5.3340714337659914e-05,True,41.61559387,1.09087579,0.6,0.12,,IN_PROGRESS
dp018,anchor,train,3.0,0.5,20.0,0.02,1.2,blunt_lo_angle_a,coarse,1,USABLE,,dp018_coarse_a0,0,0.6,2.0,15.626892663754035,OK,3072,0.011065185331707,151.19601745699765,167.18163658199774,True,3.000000000124821,2,-4.160694011545729e-11,-0.0067238676523037055,0.8563007139360854,0.8563007139360854,,forebody,1.7473559066096491,0.8562375998236492,0.1300704484109427,0.2167840806849045,0.47117090572402043,0.00966243786133486,1.5696335611589314,0.0061558557999999985,11977.91733,11979.868370856198,12007.40391,11.979868370856199,0.31984169669,11.513634986,15000,10000,1,1500,0.0004423404302913446,5.5022136661648506e-05,True,43.7720602,0.9561938283,0.6,0.024,,IN_PROGRESS
dp019,anchor,train,20.0,0.5,20.0,0.02,1.2,blunt_lo_angle_a,coarse,1,USABLE,,dp019_coarse_a0,0,0.6,2.0,24.342995834370537,OK,3072,0.008590375997143547,101.11520379099238,116.25472345901653,True,20.00000000083214,2,-4.1607162160062217e-11,-0.010283738995096825,0.8816540621613268,0.8816540621613268,,forebody,2.046040380878753,0.8817007298076815,0.07927057098567769,0.13211761830946284,0.541776964891037,0.006129581692352212,1.546679089547373,0.00396305978,510109.6741,510182.9214696474,511656.0989,510.1829214696474,24.732806098,145.43987592,10000,10000,0,1500,0.000563959836848796,7.067397351270967e-05,True,39.50858512,1.045758051,0.6,0.024,,IN_PROGRESS
