source,label,bluntness_ratio,cone_half_angle_deg,shoulder_ratio,reason,mach
anchor:box_vertex,vertex4,1.35,20.0,0.02,"cone_half_angle_deg (20.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-2537.981 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",
anchor:box_vertex,vertex5,1.35,20.0,0.1,"cone_half_angle_deg (20.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-2553.887 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",
anchor:box_vertex,vertex7,1.35,70.0,0.1,"cone_half_angle_deg (70.000 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-12.022 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",
fill:sobol,draw1,1.2561509211547675,33.21413582190871,0.06767567530274392,"cone_half_angle_deg (33.214 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-1030.016 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",7.122092735950518
fill:sobol,draw2,0.7305256448686124,46.71084483154118,0.045867926701903344,"cone_half_angle_deg (46.711 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-17.323 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",3.57262582654257
fill:sobol,draw3,0.80533592319116,27.367734564468265,0.09336963586509228,"cone_half_angle_deg (27.368 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-523.105 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",10.370840720288586
fill:sobol,draw5,1.0662081952206792,61.97080237790942,0.057455838471651074,"cone_half_angle_deg (61.971 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-20.117 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",4.1547523677101355
fill:sobol,draw7,1.173315187636763,54.560373751446605,0.021753371879458427,"cone_half_angle_deg (54.560 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-161.825 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",18.881197903555133
fill:sobol,draw8,0.7759346893057227,22.26857177913189,0.05092109218239785,"cone_half_angle_deg (22.269 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-650.161 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",17.247219293544827
fill:sobol,draw9,0.8883379851467907,52.597396802157164,0.0884349523484707,"cone_half_angle_deg (52.597 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-68.180 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",5.9747394683974875
fill:sobol,draw11,1.3482926732860507,57.68848809413612,0.07272754512727261,"cone_half_angle_deg (57.688 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-193.186 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",8.672015909285376
fill:sobol,draw13,1.0892933915369212,30.093686636537313,0.03676980420947075,"cone_half_angle_deg (30.094 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-926.444 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",3.0828868004866647
fill:sobol,draw15,0.9730636247433723,36.74575353972614,0.04247846983373165,"cone_half_angle_deg (36.746 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-463.135 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",14.05550452553504
fill:sobol,draw17,0.9490665898658336,21.192228542640805,0.02365336462855339,"cone_half_angle_deg (21.192 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-1196.178 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",6.689690882088302
fill:sobol,draw19,1.1164307328872383,38.75890716910362,0.05811443351209164,"cone_half_angle_deg (38.759 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-573.029 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",12.445825801620462
fill:sobol,draw21,1.3045730142854155,48.77301541157067,0.09152945265173913,"cone_half_angle_deg (48.773 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-411.121 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",4.391789076306758
fill:sobol,draw22,0.733699948899448,37.2326254658401,0.03458498887717724,"cone_half_angle_deg (37.233 deg) is too small for this nose_radius_m / diameter_m / shoulder_radius_m combination: the fore cone would need a negative length (-144.028 mm) - the nose sphere and the shoulder torus overlap. Increase cone_half_angle_deg, decrease nose_radius_m, or increase diameter_m.",5.440678248884946
